cohort,rank_within_cohort,holding_name,ticker,exposure_usd,share_of_total_aum_pct,num_etfs,screen_categories,as_of_date
Clean,1,apple,AAPL,1173928271.095506,2.2655302171508747,6,Clean200,2025-08-04
Clean,2,tesla,TSLA,630220753.0858469,1.21624480366178,9,Clean200,2025-08-04
Clean,3,broadcom,AVGO,616656287.4825549,1.1900671338156625,7,Clean200,2025-08-04
Clean,4,taiwan semiconductor manufacturing,2330,577026096.813425,1.113585975057488,3,Clean200,2025-08-04
Clean,5,advanced micro devices,AMD,231329677.438876,0.4464364537983779,10,Clean200,2025-08-04
Clean,6,abbvie,ABBV,201156409.93041998,0.3882059375277442,7,Clean200,2025-08-04
Clean,7,cisco systems,CSCO,182569135.97316098,0.35233489511274646,7,Clean200,2025-08-04
Clean,8,iberdrola,IBE,166702453.26812398,0.3217142430684258,3,Clean200,2025-08-04
Clean,9,first solar,FSLR,156817665.63755602,0.30263787731545466,8,Clean200,2025-08-04
Clean,10,trane technologies,TT,128177979.232189,0.24736697486028636,9,Clean200,2025-08-04
Controversial,1,microsoft,MSFT,2418522348.203471,4.667436329475606,9,Clean200 | Prison,2025-08-04
Controversial,2,alphabet,GOOG,941551699.070325,1.8170733917694593,9,Clean200 | Prison,2025-08-04
Controversial,3,amazon com,AMZN,779985195.5736009,1.5052708696190562,6,Deforestation | Prison,2025-08-04
Controversial,4,alphabet,GOOGL,435936684.322708,0.8413015985857517,8,Clean200 | Prison,2025-08-04
Controversial,5,jpmorgan chase and,JPM,325941387.336955,0.6290248562996514,6,Deforestation,2025-08-04
Controversial,6,procter and gamble,PG,236653036.783284,0.45670985103094835,7,Deforestation,2025-08-04
Controversial,7,salesforce,CRM,198505719.251735,0.3830904462522194,9,Prison,2025-08-04
Controversial,8,costco wholesale,COST,160026134.81574,0.3088298091846733,5,Deforestation | Prison,2025-08-04
Controversial,9,johnson and johnson,JNJ,159336796.68901002,0.3074994754714529,6,Deforestation,2025-08-04
Controversial,10,morgan stanley,MS,153237765.370894,0.2957291313313915,7,Deforestation,2025-08-04
