year,ETF_Ticker,screen_category,exposure_pct,aum_usd
2017,CRBN,Deforestation,7.9136150171512725,434815251.0
2018,CRBN,Deforestation,9.511160695543253,534024244.0
2019,CRBN,Deforestation,10.079324307128706,468999117.0
2020,CRBN,Deforestation,9.625595661223135,432095233.0
2021,CRBN,Deforestation,8.245815350893348,861219103.0
2022,CRBN,Deforestation,9.38832045063908,907313054.0
2023,CRBN,Deforestation,9.327634045341416,897207980.0
2024,CRBN,Deforestation,9.45910112442518,865372385.0
2025,CRBN,Deforestation,9.525176470101124,1027534118.21
2020,DMXF,Deforestation,5.8699737095930855,11157682.0
2021,DMXF,Deforestation,4.879574782366324,245845684.0
2022,DMXF,Deforestation,5.922080828352112,354432464.0
2023,DMXF,Deforestation,6.43490087010503,475875769.0
2024,DMXF,Deforestation,6.403575982719999,612269849.0
2025,DMXF,Deforestation,7.323216046222578,804362959.91
2017,DSI,Deforestation,7.058812803234481,822945453.0
2018,DSI,Deforestation,7.034341646471111,1035422953.0
2019,DSI,Deforestation,6.591968933192377,1640657277.0
2020,DSI,Deforestation,7.677135066568301,1793823683.0
2021,DSI,Deforestation,7.437962005987096,3109465386.0
2022,DSI,Deforestation,7.909254831060317,3613714403.0
2023,DSI,Deforestation,6.740795403294838,3536465235.0
2024,DSI,Deforestation,5.426055692549654,4246772961.0
2025,DSI,Deforestation,4.9836359963425645,4790621472.66
2021,EMXF,Deforestation,2.6142764385228947,13549906.0
2022,EMXF,Deforestation,3.269530840628275,35467841.0
2023,EMXF,Deforestation,2.78108311679297,55954926.0
2024,EMXF,Deforestation,2.709063702193317,73705908.0
2025,EMXF,Deforestation,1.4339348332756756,106662263.48
2017,ESGD,Deforestation,12.496582655223031,122123323.0
2018,ESGD,Deforestation,12.657400449279198,360308692.0
2019,ESGD,Deforestation,12.398525289848557,917779537.0
2020,ESGD,Deforestation,10.783253684858966,3025518508.0
2021,ESGD,Deforestation,11.00692191740305,6694668587.0
2022,ESGD,Deforestation,12.96113057093555,6376261704.0
2023,ESGD,Deforestation,12.937944917143813,7260643178.0
2024,ESGD,Deforestation,13.18972446098666,7857945972.0
2025,ESGD,Deforestation,14.286690300576785,9596812876.42
2017,ESGE,Deforestation,2.4624175950578593,96812458.0
2018,ESGE,Deforestation,3.73504812465538,329752699.0
2019,ESGE,Deforestation,2.7013609419698184,672543077.0
2020,ESGE,Deforestation,1.7981843480783106,3654480091.0
2021,ESGE,Deforestation,2.083941526664999,7105443464.0
2022,ESGE,Deforestation,2.904443523831443,4251524672.0
2023,ESGE,Deforestation,3.0575859221255293,4323754536.0
2024,ESGE,Deforestation,3.164401611010856,4045464980.0
2025,ESGE,Deforestation,1.290409402118935,5076162057.75
2017,ESGU,Deforestation,10.976167175676702,10829518.0
2018,ESGU,Deforestation,13.450476195672358,98974020.0
2019,ESGU,Deforestation,13.161161188941138,295904506.0
2020,ESGU,Deforestation,12.947011556009597,8991145354.0
2021,ESGU,Deforestation,8.445345747403863,22262630403.0
2022,ESGU,Deforestation,11.043969917047383,22194428203.0
2023,ESGU,Deforestation,10.049328133119355,12824827132.0
