ETF_TICKER,year,AUM
CRBN,2017,429760260.0
CRBN,2018,528263624.0
CRBN,2019,464262066.0
CRBN,2020,427849026.0
CRBN,2021,853364232.0
CRBN,2022,899844601.0
CRBN,2023,892048641.0
CRBN,2024,860893857.0
CRBN,2025,1026236468.29
DMXF,2020,11060642.0
DMXF,2021,243963099.0
DMXF,2022,351622362.0
DMXF,2023,470835592.0
DMXF,2024,607290287.0
DMXF,2025,801159972.39
DSI,2017,821800631.0
DSI,2018,1033461562.0
DSI,2019,1635915404.0
DSI,2020,1789535328.0
DSI,2021,3105626895.0
DSI,2022,3611259734.0
DSI,2023,3528114747.0
DSI,2024,4234120952.0
DSI,2025,4791960926.01
EMXF,2021,13240456.0
EMXF,2022,34386481.0
EMXF,2023,54600926.0
EMXF,2024,72047983.0
EMXF,2025,108169604.80999999
ESGD,2017,121079837.0
ESGD,2018,357669975.0
ESGD,2019,909795818.0
ESGD,2020,3004765525.0
ESGD,2021,6627016797.0
ESGD,2022,6322380456.0
ESGD,2023,7193004531.0
ESGD,2024,7800349259.0
ESGD,2025,9562124767.44
ESGE,2017,92163121.0
ESGE,2018,317933179.0
ESGE,2019,644659747.0
ESGE,2020,3580093237.0
ESGE,2021,6959983444.0
ESGE,2022,4109746195.0
ESGE,2023,4200671295.0
ESGE,2024,3965007859.0
ESGE,2025,5071809493.47
ESGU,2017,10809862.0
ESGU,2018,98789861.0
ESGU,2019,294651246.0
ESGU,2020,8964477492.0
ESGU,2021,22170944732.0
ESGU,2022,22101837299.0
ESGU,2023,12739605302.0
ESGU,2024,13435253279.0
ESGU,2025,13989945331.89
ESML,2018,11427747.0
ESML,2019,57643819.0
ESML,2020,365507565.0
ESML,2021,1100453360.0
ESML,2022,1474559150.0
ESML,2023,1399717473.0
ESML,2024,1573195945.0
ESML,2025,1878344832.5000002
ICLN,2017,104271502.0
ICLN,2018,154867446.0
ICLN,2019,333891726.0
ICLN,2020,1464317409.0
ICLN,2021,5750560514.0
ICLN,2022,4865398701.0
ICLN,2023,4455521850.0
ICLN,2024,2100674718.0
ICLN,2025,1456081903.2300003
LCTD,2021,594239165.0
LCTD,2022,433591639.0
LCTD,2023,559549180.0
LCTD,2024,338908809.0
LCTD,2025,238281454.52
LCTU,2021,1410186099.0
LCTU,2022,1401944797.0
LCTU,2023,1664253752.0
LCTU,2024,1345893562.0
LCTU,2025,1318870038.4699998
PABD,2024,6118940.0
PABD,2025,212246838.70000002
PABU,2022,754790218.0
PABU,2023,1487829647.0
PABU,2024,1772964466.0
PABU,2025,2177435727.9700003
SDG,2017,25026917.0
SDG,2018,37736951.0
SDG,2019,53930051.0
SDG,2020,174281568.0
SDG,2021,560946066.0
SDG,2022,414018722.0
SDG,2023,370972988.0
SDG,2024,300462949.0
SDG,2025,168319339.54
SUSA,2017,527505694.0
SUSA,2018,680489218.0
SUSA,2019,1072392346.0
SUSA,2020,1291320992.0
SUSA,2021,3048971802.0
SUSA,2022,3658469945.0
SUSA,2023,3252290542.0
SUSA,2024,3325198697.0
SUSA,2025,3555993005.58
SUSL,2019,1573192826.0
SUSL,2020,2558155137.0
SUSL,2021,4069574437.0
SUSL,2022,3107319216.0
SUSL,2023,1135364384.0
SUSL,2024,1120042654.0
SUSL,2025,969054657.82
USCL,2023,2292971818.0
USCL,2024,1944837701.0
USCL,2025,2487458430.45
USXF,2020,5800994.0
USXF,2021,418267089.0
USXF,2022,587770477.0
USXF,2023,720775883.0
USXF,2024,932927778.0
USXF,2025,1263625892.99
XJH,2020,5119431.0
XJH,2021,39633984.0
XJH,2022,84457572.0
XJH,2023,111389032.0
XJH,2024,182113953.0
XJH,2025,288603056.78999996
XVV,2020,6009618.0
XVV,2021,146688975.0
XVV,2022,200688064.0
XVV,2023,156666961.0
XVV,2024,253287336.0
XVV,2025,430850776.42999995
