year,target,p10,p50,p90,std
2017,clean,10.069621664048961,16.91092711005063,22.784068472999937,5.934452103970514
2018,clean,6.9379475022029755,18.872989405258902,24.601649665443897,8.526554838909078
2019,clean,7.120079066143849,16.18448807458867,26.40580483260747,8.643373633984915
2020,clean,4.58789014347273,20.46416389617744,29.009172522194053,10.498163975053977
2021,clean,3.772143220139751,17.38090717165188,25.591193810361077,9.105287466079782
2022,clean,7.447371710251659,19.985180973867678,28.853425998530863,9.421627248841284
2023,clean,8.179048541139828,20.876905921670524,29.0620557081621,9.544179683937141
2024,clean,8.468927849649713,21.75000974233967,28.971176792734166,9.602594548731664
2025,clean,6.892780504920171,21.357423875792634,30.70234257182566,10.248476735467928
2017,controversial,5.56456749812307,20.62940641958853,23.762873008508294,7.939940096423138
2018,controversial,9.452404971353452,17.25550069369682,25.4676600608267,7.676993036060978
2019,controversial,9.274189740043404,20.19542263898561,25.74248592423107,8.163975321500443
2020,controversial,6.473684331930674,16.062994988581046,24.21554019730466,7.690847028459324
2021,controversial,6.755224728951292,16.100827618435538,21.2495173708948,6.143961014825559
2022,controversial,10.5254858466277,17.23017910943996,25.45325360425536,6.022728416999143
2023,controversial,10.021315935934576,17.81335593749998,26.347965893965377,6.3916129225474245
2024,controversial,9.888256022290335,17.576776992999548,26.519180261228723,6.7856328027310635
2025,controversial,7.500197391254728,16.076177338561433,26.718249702585037,7.707409098187796
2017,other,55.486262187958275,63.15072296846328,81.27714550269431,11.536740528601763
2018,other,53.664639984350565,64.67302300071884,83.60964752644358,12.823588857857645
2019,other,51.11787058425578,60.66459780956917,83.60573119381274,14.441899098585443
2020,other,49.59581952255864,59.63492933376648,88.48251808438911,16.03834330956415
2021,other,55.727631058240895,64.4025299216556,87.17809010123746,13.666951080497547
2022,other,49.09274646581298,62.56491986319537,82.41181588607934,13.195483559057635
2023,other,49.751454600722326,58.395342250633085,83.40409605872912,13.352452465001239
2024,other,50.996620627220906,57.90462136002091,83.08555176321745,13.808948722282558
2025,other,48.28498221589428,59.91714589471171,86.04459657553186,14.4649259004019
