year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,nvidia,NVDA,Other,Other,0.05741094438120644,4,11
2017,2025,amazon com,AMZN,Controversial,Controversial,0.01313246128743541,1,6
2017,2025,microsoft,MSFT,Controversial,Controversial,0.012172170860972845,4,9
2017,2025,tesla,TSLA,Clean,Clean,0.011937020025877541,1,9
2017,2025,broadcom,AVGO,Clean,Clean,0.011371398717515201,2,7
2017,2025,apple,AAPL,Clean,Clean,0.009601890640895757,3,6
2017,2025,visa,V,Other,Other,0.00860333487275371,1,10
2017,2025,taiwan semiconductor manufacturing,2330,Clean,Clean,0.008395680221552628,2,3
2017,2025,mastercard,MA,Other,Other,0.00739823120350412,1,9
2017,2025,jpmorgan chase and,JPM,Controversial,Controversial,0.0046247212060551,2,6
2017,2025,advanced micro devices,AMD,Clean,Clean,0.004412947094376285,1,10
2017,2025,netflix,NFLX,Other,Other,0.0041687996983554715,1,7
2017,2025,servicenow,NOW,Other,Other,0.003792941906954416,1,10
2017,2025,s and p global,SPGI,Other,Other,0.003629153552843737,2,10
2017,2025,asml holding,ASML,Other,Other,0.0030450395321178973,2,5
2017,2025,iberdrola,IBE,Clean,Clean,0.0029532759151099735,1,3
2017,2025,intuit,INTU,Other,Other,0.00283403111140412,3,10
2017,2025,costco wholesale,COST,Controversial,Controversial,0.0026877040258296374,2,5
2017,2025,morgan stanley,MS,Controversial,Controversial,0.0025389978019498723,2,7
2017,2025,abbvie,ABBV,Clean,Clean,0.0024939829823392872,4,7
2017,2025,bank of america,BAC,Controversial,Controversial,0.002215722182414002,1,5
2017,2025,autodesk,ADSK,Clean,Clean,0.002071553750964825,1,10
2017,2025,sse,SSE,Controversial,Controversial,0.0019914599991459267,1,2
2017,2025,linde,LIN,Other,Other,0.001971742263328475,1,7
2017,2025,idexx laboratories,IDXX,Other,Other,0.0019602047584898444,1,9
2017,2025,exxon mobil,XOM,Controversial,Controversial,0.001954617703051187,1,3
2017,2025,vertex pharmaceuticals,VRTX,Other,Other,0.0018907992371885488,1,11
2017,2025,astrazeneca,AZN,Clean,Clean,0.0017415896649886652,2,4
2017,2025,welltower,WELL,Other,Other,0.0017124454574872622,2,9
2017,2025,intercontinental exchange,ICE,Other,Other,0.0016437061067812071,1,9
2017,2025,commonwealth bank of australia,CBA,Controversial,Controversial,0.0015469015715401213,1,4
2017,2025,edp energias de portugal,EDP,Controversial,Controversial,0.0015459841503118533,1,4
2017,2025,danaher,DHR,Other,Other,0.0015387855515003005,1,9
2017,2025,zurich insurance,ZURN,Other,Other,0.001460315178855998,2,5
2017,2025,sony,6758,Controversial,Controversial,0.0014383680969397598,2,4
2017,2025,palo alto networks,PANW,Other,Other,0.0013614189749322297,1,9
2017,2025,edwards lifesciences,EW,Other,Other,0.001349143457963026,1,10
2017,2025,nasdaq,NDAQ,Other,Other,0.0012716356515623229,1,9
2017,2025,cheniere energy,LNG,Controversial,Controversial,0.0012649546603018032,1,6
2017,2025,johnson and johnson,JNJ,Controversial,Controversial,0.0012421607071698337,2,6
2017,2025,nextera energy,NEE,Controversial,Controversial,0.0012359902738201594,1,5
2017,2025,arista networks,ANET,Other,Other,0.0012334940934457422,1,6
2017,2025,tencent,700,Other,Other,0.0012271308725790527,2,2
2017,2025,union pacific,UNP,Other,Other,0.0012170671128267033,2,6
2017,2025,mercadolibre,MELI,Other,Other,0.0011849989856020239,1,7
2017,2025,marvell technology,MRVL,Other,Other,0.0011173473953492842,1,8
2017,2025,pentair,PNR,Other,Other,0.001111131010978473,1,7
2017,2025,recruit,6098,Other,Other,0.0010974130727385055,1,4
2017,2025,nxp semiconductors,NXPI,Other,Other,0.001088035220226004,1,7
2017,2025,automatic data processing,ADP,Other,Other,0.0010581920238057745,3,10
2017,2025,relx,REL,Controversial,Controversial,0.0010574675373913552,2,5
2017,2025,ww grainger,GWW,Other,Other,0.001053707662637167,3,7
2017,2025,oneok,OKE,Controversial,Controversial,0.001049265050254051,3,8
2017,2025,nisource,NI,Controversial,Controversial,0.0010059410641077278,1,6
2017,2025,hitachi,6501,Other,Other,0.0010047634236268125,2,3
2017,2025,intuitive surgical,ISRG,Other,Other,0.00099315487282714,1,5
2017,2025,3i,III,Other,Other,0.0009755245152405007,1,5
2017,2025,tokyo electron,8035,Other,Other,0.0009673449987445789,1,5
2017,2025,hermes international,RMS,Other,Other,0.0009297999972568481,1,5
2017,2025,unilever,ULVR,Controversial,Controversial,0.0009254398278352843,2,2
