year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,nvidia,NVDA,Other,Other,9.723333795454545,4,11
2017,2025,microsoft,MSFT,Controversial,Controversial,4.466744833333333,4,9
2017,2025,taiwan semiconductor manufacturing,2330,Clean,Clean,3.5711783333333322,2,3
2017,2025,sse,SSE,Controversial,Controversial,2.788749,1,2
2017,2025,broadcom,AVGO,Clean,Clean,2.6315622142857147,2,7
2017,2025,amazon com,AMZN,Controversial,Controversial,2.610495666666666,1,6
2017,2025,iberdrola,IBE,Clean,Clean,2.1979703333333336,1,3
2017,2025,tesla,TSLA,Clean,Clean,2.0550036666666665,1,9
2017,2025,apple,AAPL,Clean,Clean,1.964938333333333,3,6
2017,2025,asml holding,ASML,Other,Other,1.2078030000000002,2,5
2017,2025,edp energias de portugal,EDP,Controversial,Controversial,1.1544100000000002,1,4
2017,2025,sk hynix,660,Other,Other,0.9608163333333334,2,3
2017,2025,mastercard,MA,Other,Other,0.8010054444444445,1,9
2017,2025,netflix,NFLX,Other,Other,0.8009842857142858,1,7
2017,2025,china conch venture,586,Other,Other,0.7723549999999999,2,1
2017,2025,advanced micro devices,AMD,Clean,Clean,0.7695310000000001,1,10
2017,2025,astrazeneca,AZN,Clean,Clean,0.6536955,2,4
2017,2025,uni president enterprises,1216,Controversial,Controversial,0.6506774999999999,2,2
2017,2025,mediatek,2454,Other,Other,0.6492756666666666,1,3
2017,2025,visa,V,Other,Other,0.634631,1,10
2017,2025,central japan railway,9022,Other,Clean,0.624147,1,4
2017,2025,servicenow,NOW,Other,Other,0.598839,1,10
2017,2025,costco wholesale,COST,Controversial,Controversial,0.5619799999999999,2,5
2017,2025,hitachi,6501,Other,Other,0.5403688333333333,2,3
2017,2025,hermes international,RMS,Other,Other,0.46275499999999997,1,5
2017,2025,itochu,8001,Other,Controversial,0.4461820000000001,1,1
2017,2025,intuit,INTU,Other,Other,0.44493666666666676,3,10
2017,2025,wheaton precious metals,WPM,Other,Other,0.4390593333333333,1,3
2017,2025,jpmorgan chase and,JPM,Controversial,Controversial,0.4353146666666665,2,6
2017,2025,zurich insurance,ZURN,Other,Other,0.43101999999999996,2,5
2017,2025,s and p global,SPGI,Other,Other,0.42631399999999997,2,10
2017,2025,cpfl energia,CPFE3,Other,Clean,0.42244499999999996,2,1
2017,2025,sony,6758,Controversial,Controversial,0.39642600000000006,2,4
2017,2025,sk,34730,Other,Controversial,0.39592,1,1
2017,2025,loblaw companies,L,Other,Other,0.388432,1,1
2017,2025,unicredit,UCG,Other,Other,0.3878463333333333,1,3
2017,2025,vonovia se,VNA,Other,Other,0.376636,1,5
2017,2025,wesfarmers,WES,Other,Other,0.35642500000000005,1,2
2017,2025,quanta computer,2382,Controversial,Other,0.346918,1,2
2017,2025,credit agricole,ACA,Other,Other,0.343916,2,3
2017,2025,franco nevada,FNV,Other,Other,0.343883,1,2
2017,2025,csl,CSL,Other,Other,0.3351349999999999,3,5
2017,2025,mega financial holding,2886,Other,Other,0.33388,1,1
2017,2025,hydro one,H,Other,Other,0.331243,1,2
2017,2025,unum,UNM,Other,Other,0.33037099999999997,1,2
2017,2025,delta electronics,2308,Other,Other,0.32076099999999996,1,3
2017,2025,3i,III,Other,Other,0.314112,1,5
2017,2025,recruit,6098,Other,Other,0.309169,1,4
2017,2025,assicurazioni generali,G,Other,Other,0.308238,2,2
2017,2025,cathay financial holding,2882,Other,Other,0.3075985,2,3
2017,2025,yum china,YUMC,Other,Other,0.306767,1,2
2017,2025,vertex pharmaceuticals,VRTX,Other,Other,0.30615354545454543,1,11
2017,2025,gea,G1A,Other,Other,0.3031693333333333,1,3
2017,2025,arista networks,ANET,Other,Other,0.2997713333333333,1,6
2017,2025,toll brothers,TOL,Other,Other,0.29546100000000003,1,2
2017,2025,autodesk,ADSK,Clean,Clean,0.294613,1,10
2017,2025,idexx laboratories,IDXX,Other,Other,0.28926355555555555,1,9
2017,2025,infineon technologies,IFX,Other,Other,0.2850175,2,4
2017,2025,oversea chinese banking,O39,Other,Controversial,0.284378,1,2
2017,2025,london stock exchange,LSEG,Other,Other,0.2816845,2,5
2017,2025,vinci,DG,Controversial,Clean,0.28007400000000005,1,4
2017,2025,ferrari,RACE,Other,Other,0.2791045,2,2
2017,2025,swiss re,SREN,Other,Other,0.27722399999999997,2,3
2017,2025,mitsubishi heavy industries,7011,Controversial,Controversial,0.2743845,2,2
2017,2025,mercadolibre,MELI,Other,Other,0.273799,1,7
2017,2025,kb financial,105560,Other,Other,0.2700111666666667,2,3
2017,2025,aia,1299,Other,Other,0.2696409999999999,2,5
2017,2025,marvell technology,MRVL,Other,Other,0.26847000000000004,1,8
2017,2025,manulife financial,MFC,Clean,Clean,0.26817066666666667,1,3
2017,2025,palo alto networks,PANW,Other,Other,0.2642577777777778,1,9
2017,2025,koninklijke philips,PHIA,Other,Other,0.26421449999999996,2,1
2017,2025,gold fields,GFI,Other,Other,0.262887,1,1
2017,2025,emcor,EME,Other,Other,0.257901,1,5
2017,2025,axis capital,AXS,Other,Other,0.257093,1,1
2017,2025,tesco,TSCO,Other,Controversial,0.25548600000000005,1,2
2017,2025,agnico eagle mines,AEM,Other,Other,0.25410900000000003,1,2
2017,2025,engie brasil energia,EGIE3,Clean,Clean,0.25393566666666667,1,3
2017,2025,capital one financial,COF,Other,Other,0.252212,1,6
2017,2025,bridgestone,5108,Clean,Clean,0.251651,2,1
2017,2025,tokio marine,8766,Other,Other,0.24969750000000002,2,5
2017,2025,ctbc financial holding,2891,Other,Other,0.2495196666666667,1,3
2017,2025,hsbc,HSBA,Controversial,Controversial,0.24839600000000006,2,4
2017,2025,linde,LIN,Other,Other,0.24572700000000006,1,7
2017,2025,fujifilm,4901,Other,Other,0.24058299999999996,2,4
2017,2025,rolls royce,RR.,Controversial,Controversial,0.23337000000000002,2,3
2017,2025,morgan stanley,MS,Controversial,Controversial,0.2321799285714286,2,7
2017,2025,eaton,ETN,Controversial,Controversial,0.22795400000000002,3,8
2017,2025,bank pekao,PEO,Other,Other,0.226553,1,1
2017,2025,jones lang lasalle,JLL,Other,Other,0.22651899999999997,3,3
2017,2025,boston scientific,BSX,Other,Other,0.226499,1,3
2017,2025,bae systems,BA.,Other,Controversial,0.22598799999999997,1,2
