year_a,year_b,ETF_Ticker,ticker,holding_name,w_a,w_b,classification_a,classification_b,Name_2025
2017,2025,CRBN,105560,kb financial,0.047805,0.06,Other,Other,KB FINANCIAL GROUP INC
2017,2025,CRBN,1299,aia,0.229093,0.15,Other,Other,AIA GROUP LTD
2017,2025,CRBN,1928,sands china,0.033731,0.01,Other,Other,SANDS CHINA LTD
2017,2025,CRBN,2330,taiwan semiconductor manufacturing,0.387194,1.18,Clean,Clean,TAIWAN SEMICONDUCTOR MANUFACTURING
2017,2025,CRBN,2412,chunghwa telecom,0.061373,0.01,Other,Other,CHUNGHWA TELECOM LTD
2017,2025,CRBN,27,galaxy entertainment,0.112476,0.01,Other,Other,GALAXY ENTERTAINMENT GROUP LTD
2017,2025,CRBN,2881,fubon financial holding,0.05644,0.08,Other,Other,FUBON FINANCIAL HOLDING LTD
2017,2025,CRBN,2882,cathay financial holding,0.088811,0.14,Other,Other,CATHAY FINANCIAL HOLDING LTD
2017,2025,CRBN,2885,yuanta financial holding,0.046752,0.02,Other,Other,YUANTA FINANCIAL HOLDING LTD
2017,2025,CRBN,2891,ctbc financial holding,0.037147,0.02,Other,Other,CTBC FINANCIAL HOLDING LTD
2017,2025,CRBN,2914,japan tobacco,0.126085,0.16,Controversial,Controversial,JAPAN TOBACCO INC
2017,2025,CRBN,33780,kt and g,0.053675,0.01,Controversial,Controversial,KT&G CORP
2017,2025,CRBN,35420,naver,0.046868,0.06,Other,Other,NAVER CORP
2017,2025,CRBN,4063,shin etsu chemical,0.166238,0.09,Other,Other,SHIN ETSU CHEMICAL LTD
2017,2025,CRBN,4502,takeda pharmaceutical,0.095895,0.06,Clean,Clean,TAKEDA PHARMACEUTICAL LTD
2017,2025,CRBN,4568,daiichi sankyo,0.039595,0.06,Other,Other,DAIICHI SANKYO LTD
2017,2025,CRBN,4755,rakuten,0.04433,0.03,Other,Other,RAKUTEN GROUP INC
2017,2025,CRBN,55550,shinhan financial,0.047637,0.05,Other,Other,SHINHAN FINANCIAL GROUP LTD
2017,2025,CRBN,5930,samsung electronics,0.522535,0.09,Other,Other,SAMSUNG ELECTRONICS LTD
2017,2025,CRBN,6178,japan post,0.045744,0.11,Other,Other,JAPAN POST HOLDINGS LTD
2017,2025,CRBN,66,mtr,0.052516,0.04,Other,Other,MTR CORPORATION CORP LTD
2017,2025,CRBN,660,sk hynix,0.063222,0.11,Other,Other,SK HYNIX INC
2017,2025,CRBN,6758,sony,0.149302,0.18,Controversial,Controversial,SONY GROUP CORP
2017,2025,CRBN,68270,celltrion,0.020158,0.03,Other,Other,CELLTRION INC
2017,2025,CRBN,700,tencent,0.583246,0.56,Other,Other,TENCENT HOLDINGS LTD
2017,2025,CRBN,7182,japan post bank,0.046632,0.1,Other,Other,JAPAN POST BANK LTD
2017,2025,CRBN,7186,concordia financial,0.027466,0.01,Other,Other,CONCORDIA FINANCIAL GROUP LTD
2017,2025,CRBN,7741,hoya,0.102374,0.08,Other,Other,HOYA CORP
2017,2025,CRBN,8306,mitsubishi ufj financial,0.230201,0.26,Controversial,Controversial,MITSUBISHI UFJ FINANCIAL GROUP INC
2017,2025,CRBN,8308,resona,0.046731,0.03,Other,Other,RESONA HOLDINGS INC
2017,2025,CRBN,8309,sumitomo mitsui trust,0.06666,0.01,Other,Other,SUMITOMO MITSUI TRUST GROUP INC
2017,2025,CRBN,8411,mizuho financial,0.138864,0.13,Controversial,Controversial,MIZUHO FINANCIAL GROUP INC
2017,2025,CRBN,8591,orix,0.0576,0.16,Other,Other,ORIX CORP
2017,2025,CRBN,8604,nomura,0.097198,0.12,Other,Other,NOMURA HOLDINGS INC
2017,2025,CRBN,8630,sompo,0.071231,0.05,Other,Other,SOMPO HOLDINGS INC
2017,2025,CRBN,86790,hana financial,0.048025,0.06,Other,Other,HANA FINANCIAL GROUP INC
2017,2025,CRBN,8697,japan exchange,0.032574,0.03,Other,Other,JAPAN EXCHANGE GROUP INC
2017,2025,CRBN,8725,ms and ad insurance,0.063667,0.07,Other,Other,MS&AD INSURANCE GROUP HOLDINGS INC
2017,2025,CRBN,8750,dai ichi life,0.062845,0.04,Other,Other,DAI-ICHI LIFE HOLDINGS INC
2017,2025,CRBN,8766,tokio marine,0.076377,0.15,Other,Other,TOKIO MARINE HOLDINGS INC
2017,2025,CRBN,8801,mitsui fudosan,0.041675,0.04,Other,Other,MITSUI FUDOSAN LTD
2017,2025,CRBN,8802,mitsubishi estate,0.032985,0.07,Other,Other,MITSUBISHI ESTATE CO LTD
2017,2025,CRBN,9020,east japan railway,0.170184,0.04,Clean,Clean,EAST JAPAN RAILWAY
2017,2025,CRBN,9433,kddi,0.14404,0.06,Other,Other,KDDI CORP
2017,2025,CRBN,9735,secom,0.136098,0.04,Other,Other,SECOM LTD
2017,2025,CRBN,A,agilent technologies,0.048884,0.04,Other,Other,AGILENT TECHNOLOGIES INC
2017,2025,CRBN,AAPL,apple,1.856426,3.64,Clean,Clean,APPLE INC
2017,2025,CRBN,ABBV,abbvie,0.260385,0.44,Clean,Clean,ABBVIE INC
2017,2025,CRBN,ABI,anheuser busch inbev,0.231148,0.04,Other,Other,ANHEUSER-BUSCH INBEV SA
2017,2025,CRBN,ABT,abbott laboratories,0.208736,0.12,Other,Other,ABBOTT LABORATORIES
2017,2025,CRBN,ACA,credit agricole,0.085569,0.05,Other,Other,ARCOSA INC
2017,2025,CRBN,ACGL,arch capital,0.015904,0.06,Other,Other,ARCH CAPITAL GROUP LTD
2017,2025,CRBN,ADI,analog devices,0.089001,0.17,Clean,Clean,ANALOG DEVICES INC
2017,2025,CRBN,ADP,aeroports de paris,0.073542,0.05,Other,Other,AUTOMATIC DATA PROCESSING INC
2017,2025,CRBN,ADP,automatic data processing,0.138268,0.29,Other,Other,AUTOMATIC DATA PROCESSING INC
2017,2025,CRBN,ADSK,autodesk,0.060387,0.08,Clean,Clean,AUTODESK INC
2017,2025,CRBN,AEM,agnico eagle mines,0.060891,0.09,Other,Other,AGNICO EAGLE MINES LTD
2017,2025,CRBN,AER,aercap,0.032115,0.14,Other,Other,AERCAP HOLDINGS NV
2017,2025,CRBN,AFL,aflac,0.086937,0.14,Other,Other,AFLAC INC
2017,2025,CRBN,AGS,ageas,0.034246,0.06,Other,Other,AGEAS SA
2017,2025,CRBN,AHT,ashtead,0.038239,0.15,Other,Other,ASHTEAD GROUP PLC
2017,2025,CRBN,AIA,auckland international airport,0.018772,0.05,Other,Other,AUCKLAND INTERNATIONAL AIRPORT LTD
2017,2025,CRBN,AIG,american international,0.197397,0.11,Other,Other,AMERICAN INTERNATIONAL GROUP INC
2017,2025,CRBN,AKAM,akamai technologies,0.020555,0.05,Other,Other,AKAMAI TECHNOLOGIES INC
2017,2025,CRBN,ALGN,align technology,0.030383,0.01,Other,Other,ALIGN TECHNOLOGY INC
2017,2025,CRBN,ALL,aristocrat leisure,0.029372,0.06,Other,Other,ARISTOCRAT LEISURE LTD
2017,2025,CRBN,AMD,advanced micro devices,0.025469,0.35,Clean,Clean,ADVANCED MICRO DEVICES INC
2017,2025,CRBN,AME,ametek,0.051466,0.29,Controversial,Controversial,AMETEK INC
2017,2025,CRBN,AMGN,amgen,0.307549,0.25,Clean,Clean,AMGEN INC
2017,2025,CRBN,AMS,amadeus it,0.073601,0.14,Other,Other,AMADEUS IT GROUP SA
2017,2025,CRBN,AMZN,amazon com,0.951171,2.42,Controversial,Controversial,AMAZON COM INC
2017,2025,CRBN,ANET,arista networks,0.013562,0.18,Other,Other,ARISTA NETWORKS INC
