timestamp,scenario_id,etf,stage,elapsed_s
2025-10-11T08:14:22.796965,Baseline_20251011T081422,,scenario_start,0.0
2025-10-11T08:14:22.800534,Baseline_20251011T081422,CRBN,etf_start,0.0,1076
2025-10-11T08:14:22.801461,Baseline_20251011T081422,CRBN,weights_ready,0.0009
2025-10-11T08:14:22.809487,Baseline_20251011T081422,CRBN,positions_done,0.009,0
2025-10-11T08:14:22.809975,Baseline_20251011T081422,DMXF,etf_start,0.0,472
2025-10-11T08:14:22.810639,Baseline_20251011T081422,DMXF,weights_ready,0.0007
2025-10-11T08:14:22.814690,Baseline_20251011T081422,DMXF,positions_done,0.0047,0
2025-10-11T08:14:22.815128,Baseline_20251011T081422,DSI,etf_start,0.0,426
2025-10-11T08:14:22.815743,Baseline_20251011T081422,DSI,weights_ready,0.0006
2025-10-11T08:14:22.819962,Baseline_20251011T081422,DSI,positions_done,0.0048,0
2025-10-11T08:14:22.820404,Baseline_20251011T081422,EMXF,etf_start,0.0,577
2025-10-11T08:14:22.821035,Baseline_20251011T081422,EMXF,weights_ready,0.0006
2025-10-11T08:14:22.825096,Baseline_20251011T081422,EMXF,positions_done,0.0047,0
2025-10-11T08:14:22.825512,Baseline_20251011T081422,ESGD,etf_start,0.0,438
2025-10-11T08:14:22.826124,Baseline_20251011T081422,ESGD,weights_ready,0.0006
2025-10-11T08:14:22.830216,Baseline_20251011T081422,ESGD,positions_done,0.0047,0
2025-10-11T08:14:22.830630,Baseline_20251011T081422,ESGE,etf_start,0.0,351
2025-10-11T08:14:22.831225,Baseline_20251011T081422,ESGE,weights_ready,0.0006
2025-10-11T08:14:22.834919,Baseline_20251011T081422,ESGE,positions_done,0.0043,0
2025-10-11T08:14:22.835339,Baseline_20251011T081422,ESGU,etf_start,0.0,312
2025-10-11T08:14:22.835924,Baseline_20251011T081422,ESGU,weights_ready,0.0006
2025-10-11T08:14:22.839861,Baseline_20251011T081422,ESGU,positions_done,0.0045,0
2025-10-11T08:14:22.840300,Baseline_20251011T081422,ESML,etf_start,0.0,927
2025-10-11T08:14:22.840959,Baseline_20251011T081422,ESML,weights_ready,0.0007
2025-10-11T08:14:22.845903,Baseline_20251011T081422,ESML,positions_done,0.0056,0
2025-10-11T08:14:22.846328,Baseline_20251011T081422,ICLN,etf_start,0.0,136
