etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,company_ticker,name_normalized
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Aristocrat Leisure Ltd.,"13,431","3,55,723",,,ALL,ARISTOCRAT LEISURE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,ASX Ltd.,"3,441","1,43,760",,,ASX,ASX
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Australia & New Zealand Banking Group Ltd.,"34,766","6,03,161",,,ZZ_ANZB,AUSTRALIA NEW ZEALAND BANKING
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Brambles Ltd.,"73,371","6,94,146",,,BXB,BRAMBLES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Cochlear Ltd.,"1,110","1,78,568",,,COH,COCHLEAR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Coles Group Ltd.,"6,771","82,800",,,CLEGF,COLES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Commonwealth Bank of Australia,"22,422","15,95,298",,,CBA,COMMONWEALTH BANK OF AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Computershare Ltd.,"26,307","4,43,674",,,CPU,COMPUTERSHARE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,CSL Ltd.,"7,326","13,19,531",,,CSL,CSL
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Dexus,"74,370","4,11,622",,,0DPS.F,DEXUS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Endeavour Group Ltd./Australia,"16,983","69,415",,,ZZ_EN91D,ENDEAVOUR AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Goodman Group,"32,967","4,55,840",,,MY4.SG,GOODMAN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,GPT Group (The),"43,068","1,25,882",,,ZZ_GPE95,GPT THE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,IDP Education Ltd.,"4,218","70,687",,,03F.F,IDP EDUCATION
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,IGO Ltd.,"64,269","6,00,546",,,IIDDY,IGO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Insurance Australia Group Ltd.,"55,500","2,21,557",,,IAUGY,INSURANCE AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,James Hardie Industries PLC,"15,984","4,68,441",,,JHX,JAMES HARDIE INDUSTRIES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Lottery Corp. Ltd. (The),"64,602","2,24,808",,,ZZ_LOED6,LOTTERY THE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Macquarie Group Ltd.,"5,106","6,02,150",,,MQBKY,MACQUARIE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Medibank Pvt Ltd.,"35,631","84,121",,,ZZ_ME498,MEDIBANK PVT
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Mineral Resources Ltd.,"14,874","7,18,664",,,F5J.SG,MINERAL RESOURCES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Mirvac Group,"68,931","1,08,656",,,MRVGF,MIRVAC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,National Australia Bank Ltd.,"45,288","8,67,539",,,NAB,NATIONAL AUSTRALIA BANK
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Newcrest Mining Ltd.,"15,207","2,72,767",,,ZZ_NEB2B,NEWCREST MINING
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,QBE Insurance Group Ltd.,"30,303","3,21,724",,,QBE,QBE INSURANCE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Ramsay Health Care Ltd.,"3,552","1,40,760",,,RMYHY,RAMSAY HEALTH CARE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Scentre Group,"97,236","1,83,999",,,SCG,SCENTRE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Sonic Healthcare Ltd.,"9,324","2,20,306",,,SHL,SONIC HEALTHCARE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Stockland,"77,367","2,19,879",,,STKAF,STOCKLAND
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Suncorp Group Ltd.,"21,534","2,06,339",,,SUN,SUNCORP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Telstra Corp. Ltd.,"1,00,233","2,86,888",,,TLS,TELSTRA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/23,Australia — 1.7%,Transurban Group,"63,381","6,11,946",,,TU9.SG,TRANSURBAN
