etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,AMP Ltd.,"76,830","94,790",,,AMP LTD.,AMP.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,APA Group,"12,090","91,997",,,APA GROUP,PJZ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Aristocrat Leisure Ltd.,"7,800","1,64,779",,,ARISTOCRAT LEISURE LTD.,ARLUF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,ASX Ltd.,"1,560","95,534",,,ASX LTD.,AUX.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Australia & New Zealand Banking Group Ltd.,"34,710","6,67,715",,,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.,AUSTR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Bank of Queensland Ltd.,"14,118","90,789",,,BANK OF QUEENSLAND LTD.,BKQNY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Bendigo & Adelaide Bank Ltd.,"9,906","78,450",,,BENDIGO & ADELAIDE BANK LTD.,BDJ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Brambles Ltd.,"22,464","2,03,141",,,BRAMBLES LTD.,R1H.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Cochlear Ltd.,468,"71,078",,,COCHLEAR LTD.,CHEOF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Commonwealth Bank of Australia,"20,370","11,55,494",,,COMMONWEALTH BANK OF AUSTRALIA,CBA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Computershare Ltd.,"10,452","1,14,112",,,COMPUTERSHARE LTD.,CMSQY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Crown Resorts Ltd.,"8,424","68,862",,,CROWN RESORTS LTD.,CROWN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,CSL Ltd.,"4,836","7,65,373",,,CSL LTD.,CSLLY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Dexus,"14,352","1,29,785",,,DEXUS,0DPS.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Domino’s Pizza Enterprises Ltd.,936,"24,883",,,DOMINO’S PIZZA ENTERPRISES LTD.,HQX.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Fortescue Metals Group Ltd.,"45,864","2,63,326",,,FORTESCUE METALS GROUP LTD.,FVJ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Goodman Group,"27,690","2,82,654",,,GOODMAN GROUP,MY4.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,GPT Group (The),"21,671","92,757",,,GPT GROUP (THE),GPTGR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Harvey Norman Holdings Ltd.,624,"1,888",,,HARVEY NORMAN HOLDINGS LTD.,HNN.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Insurance Australia Group Ltd.,"40,794","2,42,652",,,INSURANCE AUSTRALIA GROUP LTD.,IAUGY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,James Hardie Industries PLC,"6,396","87,684",,,JAMES HARDIE INDUSTRIES PLC,JHX
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Macquarie Group Ltd.,"4,914","4,36,209",,,MACQUARIE GROUP LTD.,4M4.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Medibank Pvt Ltd.,"34,476","85,783",,,MEDIBANK PVT LTD.,MEDIB
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Mirvac Group,"86,892","1,92,847",,,MIRVAC GROUP,MRVGF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,National Australia Bank Ltd.,"37,286","7,32,689",,,NATIONAL AUSTRALIA BANK LTD.,NAL.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Newcrest Mining Ltd.,"6,786","1,66,417",,,NEWCREST MINING LTD.,NEWCR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,QBE Insurance Group Ltd.,"15,990","1,37,654",,,QBE INSURANCE GROUP LTD.,QBIEY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Ramsay Health Care Ltd.,"1,170","58,691",,,RAMSAY HEALTH CARE LTD.,RMYHY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Scentre Group,"54,054","1,48,654",,,SCENTRE GROUP,SCG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Seek Ltd.,"4,680","67,449",,,SEEK LTD.,SLD.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Sonic Healthcare Ltd.,"7,878","1,52,255",,,SONIC HEALTHCARE LTD.,SAB.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Stockland,"57,773","1,81,978",,,STOCKLAND,STKAF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Suncorp Group Ltd.,"27,768","2,58,569",,,SUNCORP GROUP LTD.,SU4.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Sydney Airport,"35,178","2,02,700",,,SYDNEY AIRPORT,SYDNE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Tabcorp Holdings Ltd.,"36,182","1,11,974",,,TABCORP HOLDINGS LTD.,THL.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Telstra Corp. Ltd.,"60,528","1,65,624",,,TELSTRA CORP. LTD.,5KBA.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Transurban Group,"25,194","2,70,025",,,TRANSURBAN GROUP,TU9.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Treasury Wine Estates Ltd.,"12,012","1,46,543",,,TREASURY WINE ESTATES LTD.,TSRYY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Wesfarmers Ltd.,"7,332","1,98,050",,,WESFARMERS LTD.,WFAFY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Westpac Banking Corp.,"38,160","7,53,546",,,WESTPAC BANKING CORP.,WBC.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,Woolworths Group Ltd.,"9,048","2,22,138",,,WOOLWORTHS GROUP LTD.,WWR.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Australia — 2.1%,WorleyParsons Ltd.,"14,118","1,57,153","96,34,691",,WORLEYPARSONS LTD.,WF9.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Austria — 0.1%,Erste Group Bank AG,"3,510","1,26,777",,,ERSTE GROUP BANK AG,EBS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Austria — 0.1%,Raiffeisen Bank International AG,"3,961","93,584","2,20,361",,RAIFFEISEN BANK INTERNATIONAL AG,RAW0.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Belgium — 0.2%,Anheuser-Busch InBev SA/NV,"7,488","7,59,263",,,ANHEUSER-BUSCH INBEV SA/NV,ANB.MX
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Belgium — 0.2%,Umicore SA,"3,588","1,13,615","8,72,878",,UMICORE SA,UMICY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Ambev SA,"70,201","3,75,577",,,AMBEV SA,ABEVN.MX
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,"B3 SA - Brasil, Bolsa, Balcao","31,200","3,49,845",,,"B3 SA - BRASIL, BOLSA, BALCAO",BOLSY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Banco Bradesco SA,"15,610","1,29,067",,,BANCO BRADESCO SA,BBDC3
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Banco do Brasil SA,"15,600","2,04,070",,,BANCO DO BRASIL SA,BBAS3
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,BB Seguridade Participacoes SA,"7,800","67,270",,,BB SEGURIDADE PARTICIPACOES SA,BBSEY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,CCR SA,"39,000","1,54,959",,,CCR SA,CCRSA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Cielo SA,"31,236","60,104",,,CIELO SA,CIELO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Embraer SA,"7,800","40,030",,,EMBRAER SA,EMBR3
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Kroton Educacional SA,"23,400","78,112",,,KROTON EDUCACIONAL SA,KROTO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Localiza Rent a Car SA,"15,600","1,82,427",,,LOCALIZA RENT A CAR SA,RENT3
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Lojas Renner SA,"15,650","1,97,403",,,LOJAS RENNER SA,LREN3.BA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Brazil — 0.7%,Suzano SA,"15,600","1,27,160",,,SUZANO SA,SPXB.DU
