etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker,name_normalized_old
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Afterpay Ltd.,"2,584","1,27,013",,,afterpay,AFTER,AFTERPAY LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,AMP Ltd.,"77,180","81,087",,,amp,AMP.F,AMP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Ampol Ltd.,"10,608","1,99,926",,,ampol,CTXAF,AMPOL LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,APA Group,"5,440","42,914",,,apa,APA,APA GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Aristocrat Leisure Ltd.,"6,800","1,27,670",,,aristocrat leisure,ALL,ARISTOCRAT LEISURE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,ASX Ltd.,"1,360","80,611",,,asx,ASX,ASX LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Australia & New Zealand Banking Group Ltd.,"25,160","3,24,061",,,australia and new zealand banking,AUSTR,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Brambles Ltd.,"19,584","1,51,402",,,brambles,BXB,BRAMBLES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Cochlear Ltd.,408,"55,658",,,cochlear,COH,COCHLEAR LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Coles Group Ltd.,"10,200","1,32,912",,,coles,2OF.SG,COLES GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Commonwealth Bank of Australia,"17,760","9,06,845",,,commonwealth bank of australia,CBA,COMMONWEALTH BANK OF AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Computershare Ltd.,"9,112","87,761",,,computershare,CPU,COMPUTERSHARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Crown Resorts Ltd.,"10,200","65,469",,,crown resorts,CROWN,CROWN RESORTS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,CSL Ltd.,"4,216","8,16,649",,,csl,CSL,CSL LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Dexus,"17,612","1,07,485",,,dexus,0DPS.F,DEXUS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Evolution Mining Ltd.,"15,708","66,463",,,evolution mining,EVN,EVOLUTION MINING LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Fortescue Metals Group Ltd.,"32,082","4,00,563",,,fortescue metals,FVJ.SG,FORTESCUE METALS GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Goodman Group,"19,040","2,31,171",,,goodman,MY4.SG,GOODMAN GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,GPT Group (The),"21,828","60,737",,,gpt the,GPTGR,GPT GROUP (THE)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Insurance Australia Group Ltd.,"35,564","1,29,819",,,insurance australia,IAUGY,INSURANCE AUSTRALIA GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,James Hardie Industries PLC,"5,576","1,15,846",,,james hardie industries,JHX,JAMES HARDIE INDUSTRIES PLC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Lendlease Corp. Ltd.,"10,268","83,578",,,lendlease,LENDL,LENDLEASE CORP. LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Macquarie Group Ltd.,"4,284","3,79,395",,,macquarie,4M4.SG,MACQUARIE GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Magellan Financial Group Ltd.,"1,360","59,651",,,magellan financial,NNA.SG,MAGELLAN FINANCIAL GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Medibank Pvt Ltd.,"19,856","40,156",,,medibank pvt,MEDIB,MEDIBANK PVT LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Mirvac Group,"65,552","98,252",,,mirvac,MRVGF,MIRVAC GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,National Australia Bank Ltd.,"22,304","2,82,477",,,national australia bank,NAB,NATIONAL AUSTRALIA BANK LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Newcrest Mining Ltd.,"7,820","1,97,294",,,newcrest mining,NEWCR,NEWCREST MINING LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Northern Star Resources Ltd.,"9,112","1,01,026",,,northern star resources,NST,NORTHERN STAR RESOURCES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,QBE Insurance Group Ltd.,"13,940","99,071",,,qbe insurance,QBE,QBE INSURANCE GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Ramsay Health Care Ltd.,"1,020","45,338",,,ramsay health care,RMYHY,RAMSAY HEALTH CARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Scentre Group,"63,376","92,718",,,scentre,SCG,SCENTRE GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Seek Ltd.,"9,180","1,42,663",,,seek,SLD.SG,SEEK LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Sonic Healthcare Ltd.,"1,768","40,700",,,sonic healthcare,SHL,SONIC HEALTHCARE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Stockland,"42,024","96,139",,,stockland,STKAF,STOCKLAND
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Suncorp Group Ltd.,"18,428","1,12,994",,,suncorp,SUN,SUNCORP GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Sydney Airport,"20,468","76,769",,,sydney airport,SYDNE,SYDNEY AIRPORT
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Tabcorp Holdings Ltd.,"31,552","80,554",,,tabcorp,THL.SG,TABCORP HOLDINGS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Telstra Corp. Ltd.,"27,268","65,510",,,telstra,TLS,TELSTRA CORP. LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Transurban Group,"32,164","3,18,547",,,transurban,TU9.SG,TRANSURBAN GROUP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Treasury Wine Estates Ltd.,"15,572","1,20,609",,,treasury wine estates,TSRYY,TREASURY WINE ESTATES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Vicinity Centres,"40,800","38,184",,,vicinity centres,VCX,VICINITY CENTRES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Westpac Banking Corp.,"33,270","4,07,760",,,westpac banking,WBC,WESTPAC BANKING CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Woolworths Group Ltd.,"10,404","2,88,600","75,80,047",,woolworths,WOW,WOOLWORTHS GROUP LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Erste Group Bank AG,"3,060","68,389",,,erste bank,EBS,ERSTE GROUP BANK AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Raiffeisen Bank International AG,"3,461","59,548",,,raiffeisen bank international,RAW0.SG,RAIFFEISEN BANK INTERNATIONAL AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Verbund AG,"5,100","2,68,609","3,96,546",,verbund,VER,VERBUND AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Anheuser-Busch InBev SA/NV,"6,528","3,56,017",,,anheuser busch inbev,ABI,ANHEUSER-BUSCH INBEV SA/NV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Elia Group SA/NV,816,"88,965",,,elia,ELI,ELIA GROUP SA/NV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Galapagos NV,408,"76,036",,,galapagos,GLPG,GALAPAGOS NV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Groupe Bruxelles Lambert SA,"1,235","1,07,660",,,groupe bruxelles lambert,GBLB,GROUPE BRUXELLES LAMBERT SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,UCB SA,748,"96,279",,,ucb,UCB,UCB SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Umicore SA,"3,128","1,47,732","8,72,689",,umicore,UMICY,UMICORE SA
