etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,company_ticker,name_normalized
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,ANZ Group Holdings Ltd.,"34,643","6,11,254",,,ANZ,ANZ
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Aristocrat Leisure Ltd.,"16,330","4,70,804",,,ALL,ARISTOCRAT LEISURE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Brambles Ltd.,"96,350","9,18,675",,,BXB,BRAMBLES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,CAR Group Ltd.,"9,461","2,03,140",,,CAR,CAR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Cochlear Ltd.,"1,495","2,96,681",,,COH,COCHLEAR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Commonwealth Bank of Australia,"21,645","16,50,526",,,CBA,COMMONWEALTH BANK OF AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Computershare Ltd.,"33,646","5,57,287",,,CPU,COMPUTERSHARE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,CSL Ltd.,"7,485","14,69,886",,,CSL,CSL
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Endeavour Group Ltd./Australia,"35,774","1,30,923",,,ZZ_EN91D,ENDEAVOUR AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Goodman Group,"34,710","5,76,157",,,MY4.SG,GOODMAN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,GPT Group (The),"27,843","84,152",,,ZZ_GPE95,GPT THE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,IDP Education Ltd.,"6,250","80,036",,,03F.F,IDP EDUCATION
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,IGO Ltd.,"1,22,567","5,95,824",,,IIDDY,IGO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Insurance Australia Group Ltd.,"24,189","94,952",,,IAUGY,INSURANCE AUSTRALIA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,James Hardie Industries PLC,"1,335","50,157",,,JHX,JAMES HARDIE INDUSTRIES
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Lottery Corp. Ltd. (The),"49,159","1,61,359",,,ZZ_LOED6,LOTTERY THE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Macquarie Group Ltd.,"3,775","4,65,795",,,MQBKY,MACQUARIE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,National Australia Bank Ltd.,"14,973","3,15,786",,,NAB,NATIONAL AUSTRALIA BANK
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Pilbara Minerals Ltd.,"3,00,572","6,84,602",,,PILBF,PILBARA MINERALS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,QBE Insurance Group Ltd.,"18,506","1,90,549",,,QBE,QBE INSURANCE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/01/24,Australia — 1.7%,Ramsay Health Care Ltd.,"4,784","1,59,492",,,RMYHY,RAMSAY HEALTH CARE
