ETF Ticker,ETF Name,Holding Name,Screen Category,company_ticker,name_normalized,clean200,deforestation,fossil fuel,prison,tobacco,weapons
CRBN,iShares MSCI ACWI Low Carbon Target ETF,3M Co,Prison,MMMD.XC,3M CO,0,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ABB Ltd,Clean200,ABBN,ABB LTD,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ABN AMRO Bank NV NLDR,Deforestation,ABNAM,ABN AMRO BANK NV NLDR,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ADNOC Drilling Company PJSC,Fossil Fuel,ADNOC,ADNOC DRILLING COMPANY PJSC,0,0,1,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,AMETEK Inc,Weapons,AME,AMETEK INC,0,0,0,0,0,1
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ANZ Group Holdings Ltd,Deforestation,ANZ,ANZ GROUP HOLDINGS LTD,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,AT&T Inc,Clean200; Tobacco,T,AT&T INC,1,0,0,0,1,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,AbbVie Inc,Clean200,ABBV,ABBVIE INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Accenture PLC Class A,Prison,ACN,ACCENTURE PLC CLASS A,0,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Adani Ports & Special Economic Zone Ltd,Fossil Fuel,ADANI7,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,0,0,1,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Ades Holding Co,Fossil Fuel,2382,ADES HOLDING CO,0,0,1,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Advanced Micro Devices Inc,Clean200,AMD,ADVANCED MICRO DEVICES INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Alphabet Inc Class A,Clean200; Prison,GOOGL,ALPHABET INC CLASS A,1,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Alphabet Inc Class C,Clean200; Prison,GOOG,ALPHABET INC CLASS C,1,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Altria Group Inc,Tobacco,MO,ALTRIA GROUP INC,0,0,0,0,1,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Amazon.com Inc,Deforestation,AMZD.XC,AMAZON.COM INC,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Amgen Inc,Clean200,AMGN,AMGEN INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Amphenol Corp Class A,Weapons,APH,AMPHENOL CORP CLASS A,0,0,0,0,0,1
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Analog Devices Inc,Clean200,ADI,ANALOG DEVICES INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Apple Inc,Clean200,AAPL,APPLE INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Aramark,Prison,ARMK,ARAMARK,0,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Archer-Daniels-Midland Co,Prison,ADM,ARCHER-DANIELS-MIDLAND CO,0,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Aselsan Elektronik Sanayi Ve Ticaret AS,Weapons,ASELS,ASELSAN ELEKTRONIK SANAYI VE TICARET AS,0,0,0,0,0,1
CRBN,iShares MSCI ACWI Low Carbon Target ETF,AstraZeneca PLC,Clean200,AZN,ASTRAZENECA PLC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Autodesk Inc,Clean200,ADSK,AUTODESK INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Axon Enterprise Inc,Prison,AXON,AXON ENTERPRISE INC,0,0,0,1,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,BCE Inc,Clean200,BCE,BCE INC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,BNP Paribas Act. Cat.A,Deforestation,BNPPA,BNP PARIBAS ACT. CAT.A,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,BT Group PLC,Clean200,BT.A,BT GROUP PLC,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Baker Hughes Co Class A,Fossil Fuel,BAKER3,BAKER HUGHES CO CLASS A,0,0,1,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Banco Bilbao Vizcaya Argentaria SA,Deforestation,BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Banco do Brasil SA BB Brasil,Clean200,BZLA.BE,BANCO DO BRASIL SA BB BRASIL,1,0,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Bank of America Corp,Deforestation,BAC,BANK OF AMERICA CORP,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Barclays PLC,Deforestation,BARC,BARCLAYS PLC,0,1,0,0,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Beijing Enterprises Water Group Ltd,Clean200,HUN2.MU,BEIJING ENTERPRISES WATER GROUP LTD,1,0,0,0,0,0
