name_normalized,source_file
3M CO,Controversial_and_Clean_Holdings.xlsx
ABN AMRO BANK NV NLDR,Controversial_and_Clean_Holdings.xlsx
ACADIA HEALTHCARE CO INC,Controversial_and_Clean_Holdings.xlsx
ACER INC,Controversial_and_Clean_Holdings.xlsx
ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,Controversial_and_Clean_Holdings.xlsx
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,Controversial_and_Clean_Holdings.xlsx
ADIDAS AG,Controversial_and_Clean_Holdings.xlsx
ADNOC DRILLING COMPANY PJSC,Controversial_and_Clean_Holdings.xlsx
AEON CO LTD,Controversial_and_Clean_Holdings.xlsx
AIR LIQUIDE SA,Controversial_and_Clean_Holdings.xlsx
AIRBUS SE,Controversial_and_Clean_Holdings.xlsx
AKER BP ASA,Controversial_and_Clean_Holdings.xlsx
ALPHABET INC,Controversial_and_Clean_Holdings.xlsx
AMAZON.COM INC,Controversial_and_Clean_Holdings.xlsx
AMC ENTERTAINMENT HOLDINGS INC CLASS A,Controversial_and_Clean_Holdings.xlsx
APA GROUP,Controversial_and_Clean_Holdings.xlsx
ARCHER-DANIELS-MIDLAND CO,Controversial_and_Clean_Holdings.xlsx
ARES MANAGEMENT CORP,Controversial_and_Clean_Holdings.xlsx
ARES MANAGEMENT CORP ORDINARY SHARES - CLASS A,Controversial_and_Clean_Holdings.xlsx
ASELSAN ELEKTRONIK SANAYI VE TICARET AS,Controversial_and_Clean_Holdings.xlsx
AXON ENTERPRISE INC (HIGH RISK),Controversial_and_Clean_Holdings.xlsx
BAKER HUGHES CO,Controversial_and_Clean_Holdings.xlsx
BAKER HUGHES CO CLASS A,Controversial_and_Clean_Holdings.xlsx
BANCO BILBAO VIZCAYA (BBVA),Controversial_and_Clean_Holdings.xlsx
BANCO DO BRASIL SA BB BRASIL,Controversial_and_Clean_Holdings.xlsx
BANK OF CHINA LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
BANK OF CHINA LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
BASF SE,Controversial_and_Clean_Holdings.xlsx
BAYERISCHE MOTOREN WERKE AG,Controversial_and_Clean_Holdings.xlsx
BAYERISCHE MOTOREN WERKE AG PARTICIPATING PREFERRED,Controversial_and_Clean_Holdings.xlsx
BEIJING ENTERPRISES WATER GROUP LTD,Controversial_and_Clean_Holdings.xlsx
BERKSHIRE HATHAWAY INC,Controversial_and_Clean_Holdings.xlsx
BKW AG,Controversial_and_Clean_Holdings.xlsx
BNP PARIBAS,Controversial_and_Clean_Holdings.xlsx
BNP PARIBAS ACT. CAT.A,Controversial_and_Clean_Holdings.xlsx
BOOZ ALLEN HAMILTON HOLDING CORP,Controversial_and_Clean_Holdings.xlsx
BOOZ ALLEN HAMILTON HOLDING CORP A,Controversial_and_Clean_Holdings.xlsx
BOOZ ALLEN HAMILTON HOLDING CORP CLASS A,Controversial_and_Clean_Holdings.xlsx
BOOZ ALLEN HAMILTON HOLDING CORP CLASS A (HIGH RISK),Controversial_and_Clean_Holdings.xlsx
BRITISH AMERICAN TOBACCO PLC,Controversial_and_Clean_Holdings.xlsx
BROOKFIELD ASSET MANAGEMENT LTD ORDINARY SHARES - CLASS A,Controversial_and_Clean_Holdings.xlsx
BROOKFIELD ASSET MGMT LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
BROOKFIELD CORP REGISTERED SHS -A- LIMITED VTG,Controversial_and_Clean_Holdings.xlsx
CAL-MAINE FOODS INC,Controversial_and_Clean_Holdings.xlsx
CALIFORNIA RESOURCES CORP ORDINARY SHARES - NEW,Controversial_and_Clean_Holdings.xlsx
CAMPBELL’S CO,Controversial_and_Clean_Holdings.xlsx
CANADIAN NATIONAL RAILWAY CO,Controversial_and_Clean_Holdings.xlsx
CAPGEMINI SE,Controversial_and_Clean_Holdings.xlsx
CENTRAL JAPAN RAILWAY CO,Controversial_and_Clean_Holdings.xlsx
CHAMPIONX CORP,Controversial_and_Clean_Holdings.xlsx
CHINA CITIC BANK CORP LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
CHINA LONGYUAN POWER GROUP CORP LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
CHINA MENGNIU DAIRY CO LTD,Controversial_and_Clean_Holdings.xlsx
CHINA NATIONAL NUCLEAR POWER CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CHINA OILFIELD SERVICES LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
CHINA RAILWAY SIGNAL & COMMUNICATION CORP LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CHINA THREE GORGES RENEWABLES (GROUP) CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CHINA THREE GORGES RENEWABLES CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CHINA TOWER CORP LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
CHINA YANGTZE POWER CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CHOCOLADEFABRIKEN LINDT & SPRUENGLI AG,Controversial_and_Clean_Holdings.xlsx
CHOCOLADEFABRIKEN LINDT & SPRUENGLI AG - NON VOTING,Controversial_and_Clean_Holdings.xlsx
CHUBU ELECTRIC POWER CO INC,Controversial_and_Clean_Holdings.xlsx
CIA ENERGETICA DE MINAS GERAIS - CEMIG PARTICIPATING PREFERRED,Controversial_and_Clean_Holdings.xlsx
CIA PARANAENSE DE ENERGIA COPEL PARTICIPATING PREFERRED,Controversial_and_Clean_Holdings.xlsx
CIMB GROUP HOLDINGS BHD,Controversial_and_Clean_Holdings.xlsx
CITIZENS FINANCIAL GROUP INC (HIGH RISK),Controversial_and_Clean_Holdings.xlsx
CIVITAS RESOURCES INC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
CLOROX CO,Controversial_and_Clean_Holdings.xlsx
COLGATE-PALMOLIVE CO,Controversial_and_Clean_Holdings.xlsx
COMMERCIAL METALS CO,Controversial_and_Clean_Holdings.xlsx
COMPAGNIE DE SAINT-GOBAIN SA,Controversial_and_Clean_Holdings.xlsx
CONTEMPORARY AMPEREX TECHNOLOGY CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CORPORACION ACCIONA ENERGIAS RENOVABLES SA,Controversial_and_Clean_Holdings.xlsx
COSCO SHIPPING ENERGY TRANSPORTATION CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
CRANE CO,Controversial_and_Clean_Holdings.xlsx
CRH PLC,Controversial_and_Clean_Holdings.xlsx
CURTISS-WRIGHT CORP,Controversial_and_Clean_Holdings.xlsx
DAI NIPPON PRINTING CO LTD,Controversial_and_Clean_Holdings.xlsx
DAIWA HOUSE INDUSTRY CO LTD,Controversial_and_Clean_Holdings.xlsx
DASSAULT SYSTEMES SE,Controversial_and_Clean_Holdings.xlsx
DELEK US HOLDINGS INC REGISTERED SHS STOCK SETTLEMENT,Controversial_and_Clean_Holdings.xlsx
DELTA ELECTRONICS (THAILAND) PCL,Controversial_and_Clean_Holdings.xlsx
DELTA ELECTRONICS (THAILAND) PCL NVDR,Controversial_and_Clean_Holdings.xlsx
DELTA ELECTRONICS (THAILAND) PCL UNITS NON-VOTING DEPOSITORY RECEIPT,Controversial_and_Clean_Holdings.xlsx
DEUTSCHE TELEKOM AG,Controversial_and_Clean_Holdings.xlsx
DOMINO'S PIZZA INC,Controversial_and_Clean_Holdings.xlsx
DOMINO’S PIZZA INC,Controversial_and_Clean_Holdings.xlsx
DOOSAN ENERBILITY CO LTD,Controversial_and_Clean_Holdings.xlsx
DR. ING. H.C. F. PORSCHE AG BEARER SHARES,Controversial_and_Clean_Holdings.xlsx
DT MIDSTREAM INC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
E.ON SE,Controversial_and_Clean_Holdings.xlsx
EAST JAPAN RAILWAY CO,Controversial_and_Clean_Holdings.xlsx
EASTERN CO SAE,Controversial_and_Clean_Holdings.xlsx
EATON CORP PLC,Controversial_and_Clean_Holdings.xlsx
EDP - ENERGIAS DE PORTUGAL SA,Controversial_and_Clean_Holdings.xlsx
EDP-ENERGIAS DE PORTUGAL SA,Controversial_and_Clean_Holdings.xlsx
EIFFAGE SA BEARER AND/OR REGISTERED SHARES,Controversial_and_Clean_Holdings.xlsx
EISAI CO LTD,Controversial_and_Clean_Holdings.xlsx
ELIA GROUP SA/NV,Controversial_and_Clean_Holdings.xlsx
EMIRATES TELECOMMUNICATIONS GROUP CO PJSC,Controversial_and_Clean_Holdings.xlsx
ENEL SPA,Controversial_and_Clean_Holdings.xlsx
ENI SPA,Controversial_and_Clean_Holdings.xlsx
EQT AB,Controversial_and_Clean_Holdings.xlsx
EQT AB ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
EQUINIX INC,Controversial_and_Clean_Holdings.xlsx
EQUINOR ASA,Controversial_and_Clean_Holdings.xlsx
ESSITY AB CLASS B,Controversial_and_Clean_Holdings.xlsx
ESTEE LAUDER COMPANIES A,Controversial_and_Clean_Holdings.xlsx
ESTEE LAUDER COS INC,Controversial_and_Clean_Holdings.xlsx
ETIHAD ETISALAT CO JSC,Controversial_and_Clean_Holdings.xlsx
EVE ENERGY CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
FAIRFAX FINANCIAL HOLDINGS LTD,Controversial_and_Clean_Holdings.xlsx
FAST RETAILING CO LTD,Controversial_and_Clean_Holdings.xlsx
FERROVIAL SE,Controversial_and_Clean_Holdings.xlsx
FLAT GLASS GROUP CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
FORTUM OYJ,Controversial_and_Clean_Holdings.xlsx
GALP ENERGIA SGPS SA,Controversial_and_Clean_Holdings.xlsx
GENERAL MOTORS CO,Controversial_and_Clean_Holdings.xlsx
GFL ENVIRONMENTAL INC,Controversial_and_Clean_Holdings.xlsx
GOLDWIND SCIENCE & TECHNOLOGY CO LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
GRUPO BIMBO SAB DE CV CLASS A,Controversial_and_Clean_Holdings.xlsx
GRUPO MEXICO SAB DE CV CLASS B,Controversial_and_Clean_Holdings.xlsx
GSK PLC,Controversial_and_Clean_Holdings.xlsx
HALLIBURTON CO,Controversial_and_Clean_Holdings.xlsx
HANWHA SYSTEMS CO LTD,Controversial_and_Clean_Holdings.xlsx
HANWHA SYSTEMS CO LTD ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
HENGAN INTERNATIONAL GROUP CO LTD,Controversial_and_Clean_Holdings.xlsx
HENKEL AG & CO KGAA,Controversial_and_Clean_Holdings.xlsx
HENKEL AG & CO KGAA PARTICIPATING PREF.,Controversial_and_Clean_Holdings.xlsx
HENKEL AG & CO KGAA PARTICIPATING PREFERRED,Controversial_and_Clean_Holdings.xlsx
HENNES & MAURITZ AB CLASS B,Controversial_and_Clean_Holdings.xlsx
HESS CORP,Controversial_and_Clean_Holdings.xlsx
HESS MIDSTREAM LP CLASS A,Controversial_and_Clean_Holdings.xlsx
HEWLETT PACKARD ENTERPRISE CO,Controversial_and_Clean_Holdings.xlsx
HONDA MOTOR CO LTD,Controversial_and_Clean_Holdings.xlsx
HONG KONG AND CHINA GAS CO LTD,Controversial_and_Clean_Holdings.xlsx
HYUNDAI ROTEM CO,Controversial_and_Clean_Holdings.xlsx
IDEMITSU KOSAN CO LTD,Controversial_and_Clean_Holdings.xlsx
IMPERIAL OIL LTD,Controversial_and_Clean_Holdings.xlsx
INDIAN HOTELS CO LTD,Controversial_and_Clean_Holdings.xlsx
INDUSTRIA DE DISENO TEXTIL SA,Controversial_and_Clean_Holdings.xlsx
INDUSTRIA DE DISENO TEXTIL SA SHARE FROM SPLIT,Controversial_and_Clean_Holdings.xlsx
INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD CLASS H,Controversial_and_Clean_Holdings.xlsx
INNER MONGOLIA YILI INDUSTRIAL GROUP CO LTD CLASS A,Controversial_and_Clean_Holdings.xlsx
INTEL CORP,Controversial_and_Clean_Holdings.xlsx
INTERCONEXION ELECTRICA SA ESP,Controversial_and_Clean_Holdings.xlsx
INTERNATIONAL PAPER CO,Controversial_and_Clean_Holdings.xlsx
JM SMUCKER CO,Controversial_and_Clean_Holdings.xlsx
JOHNSON CONTROLS INTERNATIONAL PLC REGISTERED SHARES,Controversial_and_Clean_Holdings.xlsx
JOHNSON CONTROLS INTL PLC,Controversial_and_Clean_Holdings.xlsx
JOHNSON CONTROLS INTL PLC REGISTERED,Controversial_and_Clean_Holdings.xlsx
JOHNSON CONTROLS INTL PLC REGISTERED SHRS,Controversial_and_Clean_Holdings.xlsx
KIMBERLY-CLARK CORP,Controversial_and_Clean_Holdings.xlsx
KINDER MORGAN INC CLASS P,Controversial_and_Clean_Holdings.xlsx
KINETIK HOLDINGS INC,Controversial_and_Clean_Holdings.xlsx
KKR & CO INC,Controversial_and_Clean_Holdings.xlsx
KKR & CO INC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
KLABIN SA CTF DE DEPOSITO DE ACOES CONS OF 1 SH ' 4 PFD SHS,Controversial_and_Clean_Holdings.xlsx
KONE OYJ CLASS B,Controversial_and_Clean_Holdings.xlsx
KONGSBERG GRUPPEN ASA,Controversial_and_Clean_Holdings.xlsx
KRATOS DEFENSE & SECURITY SOLUTIONS,Controversial_and_Clean_Holdings.xlsx
KROGER CO,Controversial_and_Clean_Holdings.xlsx
KUALA LUMPUR KEPONG BHD,Controversial_and_Clean_Holdings.xlsx
L'OREAL SA,Controversial_and_Clean_Holdings.xlsx
LEONARDO SPA,Controversial_and_Clean_Holdings.xlsx
LI AUTO INC CLASS A,Controversial_and_Clean_Holdings.xlsx
LI AUTO INC ORDINARY SHARES - CLASS A,Controversial_and_Clean_Holdings.xlsx
LINDT & SPRÜNGLI AG,Controversial_and_Clean_Holdings.xlsx
LOWE'S COMPANIES INC,Controversial_and_Clean_Holdings.xlsx
LOWE’S COMPANIES INC,Controversial_and_Clean_Holdings.xlsx
LUMEN TECHNOLOGIES INC ORD,Controversial_and_Clean_Holdings.xlsx
LUMEN TECHNOLOGIES INC ORDINARY SHARES,Controversial_and_Clean_Holdings.xlsx
LVMH MOET HENNESSY LOUIS VUITTON SE,Controversial_and_Clean_Holdings.xlsx
L’OREAL SA,Controversial_and_Clean_Holdings.xlsx
MACOM TECHNOLOGY SOLUTIONS HOLDINGS,Controversial_and_Clean_Holdings.xlsx
MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,Controversial_and_Clean_Holdings.xlsx
MACQUARIE GROUP LTD,Controversial_and_Clean_Holdings.xlsx
MALAYAN BANKING BHD,Controversial_and_Clean_Holdings.xlsx
MARKS & SPENCER GROUP PLC,Controversial_and_Clean_Holdings.xlsx
MCDONALD'S CORP,Controversial_and_Clean_Holdings.xlsx
MCDONALD’S CORP,Controversial_and_Clean_Holdings.xlsx
MEIJI HOLDINGS CO LTD,Controversial_and_Clean_Holdings.xlsx
MERCEDES-BENZ GROUP AG,Controversial_and_Clean_Holdings.xlsx
MITSUBISHI UFJ FINANCIAL GROUP,Controversial_and_Clean_Holdings.xlsx
MITSUI & CO LTD,Controversial_and_Clean_Holdings.xlsx
MITSUI O.S.K. LINES LTD,Controversial_and_Clean_Holdings.xlsx
MIZUHO FG,Controversial_and_Clean_Holdings.xlsx
MOL HUNGARIAN OIL & GAS PLC,Controversial_and_Clean_Holdings.xlsx
MONDELEZ INTERNATIONAL,Controversial_and_Clean_Holdings.xlsx
MONDELEZ INTERNATIONAL A,Controversial_and_Clean_Holdings.xlsx
MONDELEZ INTERNATIONAL INC,Controversial_and_Clean_Holdings.xlsx
MONDELEZ INT’L INC CLASS A,Controversial_and_Clean_Holdings.xlsx
MOTOROLA SOLUTIONS INC (HIGH RISK),Controversial_and_Clean_Holdings.xlsx
MTU AERO ENGINES AG,Controversial_and_Clean_Holdings.xlsx
NATIONAL FUEL GAS CO,Controversial_and_Clean_Holdings.xlsx
NESTE OYJ,Controversial_and_Clean_Holdings.xlsx
NESTLE MALAYSIA BHD,Controversial_and_Clean_Holdings.xlsx
NESTLÉ SA,Controversial_and_Clean_Holdings.xlsx
NEWMONT CORP,Controversial_and_Clean_Holdings.xlsx
NIKE INC,Controversial_and_Clean_Holdings.xlsx
NIO INC CLASS A,Controversial_and_Clean_Holdings.xlsx
NISSIN FOODS HOLDINGS CO LTD,Controversial_and_Clean_Holdings.xlsx
NITORI HOLDINGS CO LTD,Controversial_and_Clean_Holdings.xlsx
NOKIA OYJ,Controversial_and_Clean_Holdings.xlsx
NORDEX SE AKT. NACH KAPITALHERABSETZUNG,Controversial_and_Clean_Holdings.xlsx
NORSK HYDRO ASA,Controversial_and_Clean_Holdings.xlsx
NORTHWEST NATURAL HOLDING CO,Controversial_and_Clean_Holdings.xlsx
OCBC,Controversial_and_Clean_Holdings.xlsx
ORKLA ASA,Controversial_and_Clean_Holdings.xlsx
ORSTED AS,Controversial_and_Clean_Holdings.xlsx
OVERSEA-CHINESE BANKING CORP LTD,Controversial_and_Clean_Holdings.xlsx
PANDORA AS,Controversial_and_Clean_Holdings.xlsx
PARKER HANNIFIN CORP,Controversial_and_Clean_Holdings.xlsx
PETROBRAS (PETROLEO BRASILEIRO SA),Controversial_and_Clean_Holdings.xlsx
