etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Afterpay Ltd.,"2,584","1,27,013",,,AFTERPAY,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,AMP Ltd.,"77,180","81,087",,,AMP,AMP.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Ampol Ltd.,"10,608","1,99,926",,,AMPOL,CTXAY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,APA Group,"5,440","42,914",,,APA,PJZ.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Aristocrat Leisure Ltd.,"6,800","1,27,670",,,ARISTOCRAT LEISURE,ARLUF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,ASX Ltd.,"1,360","80,611",,,ASX,ASXFY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Australia & New Zealand Banking Group Ltd.,"25,160","3,24,061",,,AUSTRALIA NEW ZEALAND BANKING,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Brambles Ltd.,"19,584","1,51,402",,,BRAMBLES,R1H.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Cochlear Ltd.,408,"55,658",,,COCHLEAR,CHEOY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Coles Group Ltd.,"10,200","1,32,912",,,COLES,CLEGF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Commonwealth Bank of Australia,"17,760","9,06,845",,,COMMONWEALTH BANK OF AUSTRALIA,CMWAY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Computershare Ltd.,"9,112","87,761",,,COMPUTERSHARE,CMSQY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Australia — 1.8%,Crown Resorts Ltd.,"10,200","65,469",,,CROWN RESORTS,
