etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,ASX Ltd.,"9,138","4,86,436",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Aurizon Holdings Ltd.,"92,051","2,32,809",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,BlueScope Steel Ltd.,"20,968","2,35,257",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Brambles Ltd.,"68,113","5,73,254",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Cochlear Ltd.,"3,114","4,53,327",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Computershare Ltd.,"25,806","4,30,385",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,CSL Ltd.,"22,525","45,05,397",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Dexus,"54,445","3,22,041",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Evolution Mining Ltd.,"77,577","1,24,670",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Fortescue Metals Group Ltd.,"78,869","9,80,150",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Goodman Group,"78,010","10,37,376",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,GPT Group (The),"97,229","2,77,054",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,IDP Education Ltd.,"10,179","2,00,390",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,James Hardie Industries PLC,"20,425","4,62,940",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Lendlease Corp. Ltd.,"30,084","2,09,641",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Medibank Pvt Ltd.,"1,37,232","3,45,683",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Mineral Resources Ltd.,"8,004","3,41,030",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Mirvac Group,"1,82,168","2,59,431",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Newcrest Mining Ltd.,"41,201","4,95,304",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Northern Star Resources Ltd.,"51,219","2,70,705",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Orica Ltd.,"19,535","2,04,339",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,QBE Insurance Group Ltd.,"68,507","5,61,672",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Ramsay Health Care Ltd.,"8,355","4,07,188",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,REA Group Ltd.,"2,287","1,97,227",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Reece Ltd.,"9,129","98,834",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Scentre Group,"2,43,988","4,84,876",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,SEEK Ltd.,"16,847","2,37,689",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Sonic Healthcare Ltd.,"21,505","4,97,303",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Stockland,"1,14,753","2,82,277",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Suncorp Group Ltd.,"59,348","4,38,300",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Transurban Group,"1,43,065","13,57,324",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,Vicinity Centres,"1,81,957","2,38,220",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Australia — 4.9%,WiseTech Global Ltd.,"6,769","2,67,372","1,75,15,901",
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Austria — 0.1%,Erste Group Bank AG,"15,943","3,58,522",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Austria — 0.1%,voestalpine AG,"5,394","1,08,541","4,67,063",
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,Ageas SA/NV,"7,263","2,94,700",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,D’ieteren Group,"1,326","1,99,897",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,Elia Group SA/NV,"1,566","2,27,495",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,Groupe Bruxelles Lambert SA,"4,514","3,41,241",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,KBC Group NV,"11,537","5,50,228",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,Proximus SADP,"7,314","93,100",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,Umicore SA,"10,007","3,18,083",,
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Belgium — 0.6%,Warehouses De Pauw CVA,"7,107","2,16,245","22,40,989",
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Brazil — 0.1%,Yara International ASA,"8,106","3,42,863","3,42,863",
DMXF,iShares ESG Advanced MSCI EAFE ETF,31/08/22,Denmark — 4.1%,"AP Moller - Maersk A/S, Class A",140,"3,27,055",,
