etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Aerospace & Defense — 0.0%,"Spirit AeroSystems Holdings Inc., Class A","14,011","3,10,484","3,10,484",
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Air Freight & Logistics — 0.7%,CH Robinson Worldwide Inc.,"18,315","12,98,533",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Air Freight & Logistics — 0.7%,Echo Global Logistics Inc.,"4,005","70,208",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Air Freight & Logistics — 0.7%,Expeditors International of Washington Inc.,"23,051","16,50,567",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Air Freight & Logistics — 0.7%,"United Parcel Service Inc., Class B","94,682","89,62,598","1,19,81,906",
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Airlines — 0.1%,Delta Air Lines Inc.,"21,891","5,67,196",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Airlines — 0.1%,Southwest Airlines Co.,"17,815","5,56,719","11,23,915",
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Auto Components — 0.2%,Aptiv PLC,"34,547","24,02,744",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Auto Components — 0.2%,Autoliv Inc.,"11,107","6,66,642",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Auto Components — 0.2%,BorgWarner Inc.,"27,962","7,98,874","38,68,260",
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Automobiles — 0.8%,Harley-Davidson Inc.,"20,735","4,52,645",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Automobiles — 0.8%,Tesla Inc.,"18,266","1,42,81,820","1,47,34,465",
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Banks — 1.6%,Bank of Hawaii Corp.,"5,515","3,76,013",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Banks — 1.6%,Cathay General Bancorp.,"9,981","2,78,670",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Banks — 1.6%,CIT Group Inc.,"12,765","2,42,280",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Banks — 1.6%,Citizens Financial Group Inc.,"58,849","13,17,629",,
DSI,iShares MSCI KLD 400 Social ETF,30/04/20,Banks — 1.6%,Comerica Inc.,"19,514","6,80,258",,
