etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Atacadao SA,"13,251","32,227",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,B3 SA - Brasil Bolsa Balcao,"1,23,711","3,19,288",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Banco Bradesco SA,"33,503","82,896",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Banco do Brasil SA,"18,690","2,17,538",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,CCR SA,"22,008","61,007",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Cia. de Saneamento Basico do Estado de Sao Paulo,"7,497","1,19,383",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Energisa SA,"6,132","62,713",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Equatorial Energia SA,"22,512","1,54,787",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Hapvida Participacoes e Investimentos SA (a)(b),"1,03,551","76,448",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Klabin SA,"16,254","73,797",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Localiza Rent a Car SA,"19,673","2,09,746",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,"Localiza Rent a Car SA, NVS",67,682,,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Lojas Renner SA,"20,895","66,412",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Natura & Co. Holding SA,"18,837","61,803",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Raia Drogasil SA,"27,688","1,48,379",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Rede D’Or Sao Luiz SA,"12,033","61,289",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Rumo SA,"28,056","1,28,228",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Sendas Distribuidora SA,"29,463","84,161",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,Telefonica Brasil SA,"8,631","94,590",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,TIM SA/Brazil,"18,005","65,811",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Brazil — 3.0%,TOTVS SA,"12,054","74,418","21,95,603",
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Banco de Chile,"9,71,439","1,12,645",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Banco de Credito e Inversiones SA,"1,549","42,972",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Banco Santander Chile,"14,12,616","68,696",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Cencosud SA,"28,329","50,877",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Empresas CMPC SA,"23,898","42,425",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Falabella SA,"20,391","51,718",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,Chile — 0.6%,Latam Airlines Group SA,"39,42,042","49,578","4,18,911",
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"37 Interactive Entertainment Network Technology Group Co. Ltd., Class A","4,200","11,313",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,AAC Technologies Holdings Inc.,"10,500","26,105",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Agricultural Bank of China Ltd., Class A","1,15,500","67,093",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Agricultural Bank of China Ltd., Class H","5,88,000","2,41,224",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,AIMA Technology Group Co. Ltd.,"2,100","9,597",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Air China Ltd., Class A","12,600","13,049",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Air China Ltd., Class H","42,000","22,490",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,Alibaba Group Holding Ltd.,"3,52,800","32,43,529",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,Alibaba Health Information Technology Ltd.,"1,26,000","55,056",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,BAIC BluePark New Energy Technology Co. Ltd.,"6,300","5,186",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,Baidu Inc.,"48,540","6,14,196",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Bank of China Ltd., Class A","48,300","29,929",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Bank of China Ltd., Class H","17,01,000","6,67,305",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Bank of Communications Co. Ltd., Class A","52,500","45,622",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Bank of Communications Co. Ltd., Class H","1,89,000","1,23,823",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Bank of Ningbo Co. Ltd., Class A","8,400","25,892",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,Beijing Enterprises Water Group Ltd.,"84,000","19,705",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Beijing Kingsoft Office Software Inc., Class A",478,"17,981",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Beijing Oriental Yuhong Waterproof Technology Co. Ltd., Class A","2,100","5,021",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,"Beijing Tongrentang Co. Ltd., Class A","2,100","12,971",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,Bilibili Inc.,"4,200","40,728",,
EMXF,iShares ESG Advanced MSCI Emerging Markets ETF,29/02/24,China — 25.5%,BOC Aviation Ltd.,"4,200","30,917",,
