etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Alumina Ltd.,"99,085","1,66,609",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Amcor Ltd./Australia,"9,434","1,20,544",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,AMP Ltd.,"46,645","1,88,682",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,APA Group,"19,399","1,36,323",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,ASX Ltd.,"4,788","2,07,653",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Aurizon Holdings Ltd.,"25,131","98,866",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Australia & New Zealand Banking Group Ltd.,"30,669","7,15,158",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Brambles Ltd.,"28,174","2,08,043",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Caltex Australia Ltd.,"4,983","1,31,966",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Commonwealth Bank of Australia,"16,796","10,09,788",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,CSL Ltd.,"3,781","3,85,419",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Dexus,"23,845","1,81,372",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Goodman Group,"27,132","1,78,399",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,GPT Group (The),"30,894","1,22,518",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Insurance Australia Group Ltd.,"34,277","1,74,267",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,LendLease Group,"13,204","1,73,638",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Macquarie Group Ltd.,"4,199","2,89,082",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Mirvac Group,"1,24,306","2,28,736",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,National Australia Bank Ltd.,"27,132","6,49,896",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Newcrest Mining Ltd.,"10,051","1,82,159",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Origin Energy,"20,463","1,24,161",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Ramsay Health Care Ltd.,"2,641","1,43,090",,
ESGD,iShares MSCI EAFE ESG Optimized ETF,31/08/17,AUSTRALIA — 6.88%,Rio Tinto Ltd.,"4,579","2,46,384",,
