etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value 
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Alumina Ltd.,"5,80,376","8,48,531",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,APA Group,"1,63,367","12,11,854",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Aristocrat Leisure Ltd.,"56,014","11,22,748",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,ASX Ltd.,"18,184","10,57,424",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Aurizon Holdings Ltd.,"2,27,177","9,04,588",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Australia & New Zealand Banking Group Ltd.,"1,89,004","34,05,110",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,BlueScope Steel Ltd.,"1,02,606","8,63,444",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Brambles Ltd.,"2,20,812","16,81,125",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Coca-Cola Amatil Ltd.,"1,28,692","9,42,497",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Cochlear Ltd.,"6,761","9,93,039",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Coles Group Ltd.,"99,938","9,31,892",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Commonwealth Bank of Australia,"1,06,821","56,89,280",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,CSL Ltd.,"34,886","56,61,515",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Dexus,"1,42,467","12,38,234",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Fortescue Metals Group Ltd.,"1,74,491","9,40,507",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Goodman Group,"90,155","8,81,973",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,GPT Group (The),"2,25,372","9,70,286",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Insurance Australia Group Ltd.,"1,87,180","10,16,467",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Lendlease Group,"97,462","11,20,245",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Macquarie Group Ltd.,"28,248","23,56,934",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Mirvac Group,"6,60,693","14,20,003",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,National Australia Bank Ltd.,"1,71,004","31,52,254",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Newcrest Mining Ltd.,"61,702","15,38,154",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Origin Energy Ltd.,"2,32,154","11,93,437",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Ramsay Health Care Ltd.,"19,048","8,42,397",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Rio Tinto Ltd.,"34,306","20,24,295",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Seek Ltd.,"67,404","9,23,255",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Sonic Healthcare Ltd.,"47,906","9,50,548",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Stockland,"3,93,947","11,99,707",,
ESGD,iShares ESG MSCI EAFE ETF,31/08/19,Australia — 7.1%,Sydney Airport,"2,67,119","15,17,159",,
