etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Argentina — 0.1%,"Banco BBVA Argentina SA, ADR","1,83,540","7,74,539","7,74,539",
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Atacadao SA,"2,73,000","14,73,283",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,"B3 SA - Brasil, Bolsa, Balcao","6,93,000","75,13,286",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Banco Bradesco SA,"1,47,042","10,78,208",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Banco do Brasil SA,"1,89,000","21,14,941",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Banco Santander Brasil SA,"2,73,000","28,14,433",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Cielo SA,"3,99,000","7,48,330",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Cosan SA,"84,000","10,16,204",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Engie Brasil Energia SA,"1,89,000","20,57,311",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Klabin SA,"1,68,000","6,12,284",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Localiza Rent a Car SA,"2,52,030","28,69,051",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Lojas Renner SA,"84,010","10,27,711",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,M. Dias Branco SA,"63,000","5,51,909",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Natura Cosmeticos SA,"1,26,000","20,11,878",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Petrobras Distribuidora SA,"1,26,000","8,78,176",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Brazil — 4.3%,Ultrapar Participacoes SA,"5,46,000","21,69,624","2,89,36,629",
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Chile — 0.8%,Banco Santander Chile,"1,07,48,640","7,70,081",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Chile — 0.8%,Empresas COPEC SA,"2,93,790","26,54,430",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,Chile — 0.8%,Enel Americas SA,"1,15,51,050","18,97,549","53,22,060",
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,3SBio Inc. (a)(b),"4,20,000","6,47,527",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,AAC Technologies Holdings Inc.,"1,39,000","6,01,390",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Agricultural Bank of China Ltd., Class H","21,00,000","8,09,409",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Alibaba Group Holding Ltd., ADR","1,72,830","3,02,50,435",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Alibaba Health Information Technology Ltd.,"8,40,000","7,96,544",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Alibaba Pictures Group Ltd.,"48,00,000","7,90,265",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Autohome Inc., ADR","8,400","7,32,144",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"BAIC Motor Corp. Ltd., Class H","11,55,000","6,51,547",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Baidu Inc., ADR","11,130","11,62,751",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Bank of China Ltd., Class H","18,90,000","7,21,231",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Bank of Shanghai Co. Ltd., Class A","7,62,945","9,61,543",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Baozun Inc., ADR (b)(c)","19,110","8,74,474",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"BBMG Corp., Class H","27,30,000","7,76,979",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,BOC Aviation Ltd.,"2,10,000","18,25,190",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"BOE Technology Group Co. Ltd., Class A","14,49,000","7,41,000",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Brilliance China Automotive Holdings Ltd.,"8,40,000","8,93,030",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"BYD Co. Ltd., Class A","1,05,000","7,25,479",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"BYD Co. Ltd., Class H","2,10,000","10,88,145",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,BYD Electronic International Co. Ltd.,"5,25,000","6,31,848",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Agri-Industries Holdings Ltd.,"27,30,000","7,70,010",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Aoyuan Group Ltd.,"6,30,000","7,42,941",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China CITIC Bank Corp. Ltd., Class H","8,40,000","4,39,546",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Construction Bank Corp., Class H","1,13,40,000","84,23,210",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Eastern Airlines Corp. Ltd., Class A","8,61,000","6,09,930",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Everbright Bank Co. Ltd., Class H","35,70,000","14,89,902",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Everbright International Ltd.,"10,50,666","8,24,672",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Everbright Ltd.,"4,64,000","5,30,008",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China International Capital Corp. Ltd., Class H","6,72,000","11,62,975",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Life Insurance Co. Ltd., Class H","5,04,000","11,79,700",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Longyuan Power Group Corp. Ltd., Class H","27,30,000","15,01,694",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Mengniu Dairy Co. Ltd.,"3,05,000","12,10,603",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Merchants Bank Co. Ltd., Class H","11,55,000","52,62,496",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Merchants Securities Co. Ltd., Class A","3,36,000","7,50,214",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Merchants Shekou Industrial Zone Holdings Co. Ltd., Class A","2,31,000","6,37,453",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Minsheng Banking Corp. Ltd., Class H","40,95,000","26,96,778",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Mobile Ltd.,"4,20,000","34,81,529",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Molybdenum Co. Ltd., Class A","15,12,000","7,58,429",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Molybdenum Co. Ltd., Class H","37,80,000","10,27,574",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Oilfield Services Ltd., Class H","5,82,000","7,20,504",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,China Overseas Land & Investment Ltd.,"4,20,000","13,29,360",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Pacific Insurance Group Co. Ltd., Class H","3,78,000","15,14,827",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Tower Corp. Ltd., Class H","79,80,000","18,23,046",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"China Vanke Co. Ltd., Class H","3,36,000","11,62,118",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,CNOOC Ltd.,"8,40,000","12,54,315",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Country Garden Services Holdings Co. Ltd.,"10,50,000","30,41,983",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,CSPC Pharmaceutical Group Ltd.,"8,40,000","16,80,997",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Ctrip.com International Ltd., ADR","38,010","12,30,764",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Fosun International Ltd.,"14,70,000","18,91,122",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"GDS Holdings Ltd., ADR","18,270","7,37,012",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Geely Automobile Holdings Ltd.,"21,00,000","32,48,355",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Genscript Biotech Corp.,"4,20,000","9,42,345",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,Greentown Service Group Co. Ltd.,"12,60,000","11,53,005",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Guangzhou Automobile Group Co. Ltd., Class H","8,41,200","8,48,141",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,HengTen Networks Group Ltd. (b)(c),"4,03,20,000","6,43,239",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Huadong Medicine Co. Ltd., Class A","1,67,979","6,71,493",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Huaneng Renewables Corp. Ltd., Class H","38,84,000","10,75,674",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Huaxia Bank Co. Ltd., Class A","7,98,000","8,07,254",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Hutchison China MediTech Ltd., ADR (b)(c)","32,970","7,18,416",,
ESGE,iShares ESG MSCI Emerging Markets ETF,31/08/19,China — 29.4%,"Iflytek Co. Ltd., Class A","1,46,995","6,75,721",,
