etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value 
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AEROSPACE & DEFENSE — 1.88%,Northrop Grumman Corp.,155,"42,193",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AEROSPACE & DEFENSE — 1.88%,Raytheon Co.,252,"45,866",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AEROSPACE & DEFENSE — 1.88%,Rockwell Collins Inc.,363,"47,571",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AEROSPACE & DEFENSE — 1.88%,United Technologies Corp.,564,"67,522","2,03,152",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AIR FREIGHT & LOGISTICS — 0.95%,Expeditors International of Washington Inc.,471,"26,423",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AIR FREIGHT & LOGISTICS — 0.95%,FedEx Corp.,60,"12,863",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AIR FREIGHT & LOGISTICS — 0.95%,United Parcel Service Inc. Class B,559,"63,927","1,03,213",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AIRLINES — 0.21%,Delta Air Lines Inc.,238,"11,231",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AIRLINES — 0.21%,Southwest Airlines Co.,213,"11,106","22,337",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,AUTOMOBILES — 0.34%,Tesla Inc. a,102,"36,302","36,302",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,Bank of America Corp.,"5,023","1,19,999",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,BB&T Corp.,351,"16,177",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,Citigroup Inc.,"1,490","1,01,365",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,Citizens Financial Group Inc.,428,"14,180",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,Comerica Inc.,343,"23,410",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,Fifth Third Bancorp.,494,"12,908",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,First Republic Bank/CA,118,"11,452",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,JPMorgan Chase & Co.,"1,769","1,60,784",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,KeyCorp,"1,289","22,184",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,M&T Bank Corp.,93,"13,751",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,People’s United Financial Inc.,"1,640","27,388",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,PNC Financial Services Group Inc. (The) b,453,"56,811",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,Regions Financial Corp.,"1,139","16,071",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,SVB Financial Group a,100,"16,934",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BANKS — 5.85%,U.S. Bancorp.,384,"19,680","6,33,094",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BEVERAGES — 2.35%,Coca-Cola Co. (The),"2,466","1,12,326",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BEVERAGES — 2.35%,Molson Coors Brewing Co. Class B,224,"20,104",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BEVERAGES — 2.35%,PepsiCo Inc.,"1,055","1,22,095","2,54,525",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,AbbVie Inc.,844,"63,553",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Alexion Pharmaceuticals Inc. a,85,"12,105",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Amgen Inc.,362,"64,353",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Biogen Inc. a,139,"44,002",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Celgene Corp. a,392,"54,461",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Gilead Sciences Inc.,727,"60,857",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Incyte Corp. a,94,"12,916",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Regeneron Pharmaceuticals Inc. a,24,"11,926",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BIOTECHNOLOGY — 3.25%,Vertex Pharmaceuticals Inc. a,176,"28,255","3,52,428",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BUILDING PRODUCTS — 0.70%,Allegion PLC,254,"19,992",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BUILDING PRODUCTS — 0.70%,Johnson Controls International PLC,"1,061","42,005",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,BUILDING PRODUCTS — 0.70%,Masco Corp.,382,"14,046","76,043",
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Ameriprise Financial Inc.,88,"12,189",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Bank of New York Mellon Corp. (The),836,"43,706",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,BlackRock Inc. b,166,"69,556",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Charles Schwab Corp. (The),495,"19,750",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,CME Group Inc.,182,"22,896",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Franklin Resources Inc.,471,"20,361",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Goldman Sachs Group Inc. (The),224,"50,118",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Moody’s Corp.,136,"18,228",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Morgan Stanley,990,"45,045",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,Northern Trust Corp.,379,"33,541",,
ESGU,MSCI USA ESG OPTIMIZED ETF,31/08/17,CAPITAL MARKETS — 3.97%,S&P Global Inc.,187,"28,860",,
