etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,"HEICO Corp., Class A","99,751","89,15,745",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,Howmet Aerospace Inc.,"5,01,133","87,79,850",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,Huntington Ingalls Industries Inc.,"64,673","97,99,253",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,L3Harris Technologies Inc.,"1,09,799","1,98,45,071",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,Raytheon Technologies Corp.,"6,12,242","3,73,46,762",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,Teledyne Technologies Inc.,"27,185","85,25,488",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,Textron Inc.,"2,27,510","89,70,719",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Aerospace & Defense — 1.3%,TransDigm Group Inc.,"21,479","1,07,32,412","11,29,15,300",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Air Freight & Logistics — 0.9%,CH Robinson Worldwide Inc.,"1,19,374","1,17,34,464",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Air Freight & Logistics — 0.9%,Expeditors International of Washington Inc.,"2,33,832","2,06,68,410",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Air Freight & Logistics — 0.9%,FedEx Corp.,"59,296","1,30,35,633",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Air Freight & Logistics — 0.9%,"United Parcel Service Inc., Class B","1,94,135","3,17,64,369","7,72,02,876",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Auto Components — 0.2%,Aptiv PLC,"1,55,733","1,34,11,726","1,34,11,726",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Automobiles — 1.2%,Tesla Inc.,"2,20,807","11,00,32,544","11,00,32,544",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,Bank of America Corp.,"22,73,170","5,85,11,396",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,Citigroup Inc.,"7,22,303","3,69,24,129",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,Comerica Inc.,"2,17,337","85,91,332",,
,,31/08/20,Banks — 3.0%,Huntington Bancshares Inc./OH,"9,01,197","84,80,264",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,JPMorgan Chase & Co.,"7,83,689","7,85,17,801",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,KeyCorp,"7,09,385","87,39,623",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,PNC Financial Services Group Inc. (The),"1,90,857","2,12,23,298",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,Regions Financial Corp.,"7,55,988","87,39,221",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,SVB Financial Group,"35,497","90,65,224",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,Truist Financial Corp.,"2,95,079","1,14,52,016",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,U.S. Bancorp.,"3,22,542","1,17,40,529",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Banks — 3.0%,Zions Bancorp. N.A,"2,60,693","83,83,887","27,03,68,720",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Beverages — 1.9%,"Brown-Forman Corp., Class B, NVS","1,24,753","91,28,177",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Beverages — 1.9%,Coca-Cola Co. (The),"14,03,670","6,95,23,775",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Beverages — 1.9%,Keurig Dr Pepper Inc.,"2,93,738","87,62,205",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Beverages — 1.9%,"Molson Coors Beverage Co., Class B","2,27,643","85,68,483",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Beverages — 1.9%,PepsiCo Inc.,"5,35,425","7,49,91,625","17,09,74,265",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,AbbVie Inc.,"5,40,712","5,17,83,988",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,Amgen Inc.,"2,07,876","5,26,59,148",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,Biogen Inc.,"48,341","1,39,04,805",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,BioMarin Pharmaceutical Inc.,"1,12,220","87,56,527",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,Gilead Sciences Inc.,"4,76,074","3,17,77,939",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,Moderna Inc.,"1,26,168","81,87,042",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,Regeneron Pharmaceuticals Inc.,"26,934","1,66,97,195",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Biotechnology — 2.4%,Vertex Pharmaceuticals Inc.,"1,10,021","3,07,09,062","21,44,75,706",
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Building Products — 0.8%,Allegion PLC,"85,575","88,47,599",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Building Products — 0.8%,Carrier Global Corp.,"2,95,337","88,15,809",,
ESGU,iShares ESG Aware MSCI USA ETF,31/08/20,Building Products — 0.8%,Johnson Controls International PLC,"5,30,693","2,16,15,126",,
