etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Aerovironment Inc. (a),551,28393,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Astronics Corp. (a),1069,29408,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Axon Enterprise Inc. (a),1160,69565,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,BWX Technologies Inc.,4093,242306,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Cubic Corp.,972,67331,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Curtiss-Wright Corp.,769,94310,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Hexcel Corp.,2576,216770,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Kratos Defense & Security Solutions Inc. (a),1775,35447,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Mercury Systems Inc. (a)(b),981,84003,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,"Moog Inc., Class A",1052,85475,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Teledyne Technologies Inc. (a),592,182685,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Aerospace & Defense — 2.0%,Wesco Aircraft Holdings Inc. (a),3924,43164,1178857,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Air Freight & Logistics — 0.2%,Echo Global Logistics Inc. (a),2549,51082,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Air Freight & Logistics — 0.2%,"Hub Group Inc., Class A (a)",1136,48916,99998,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,American Axle & Manufacturing Holdings Inc. (a),4024,25512,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Cooper Tire & Rubber Co.,1205,28306,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Cooper-Standard Holdings Inc. (a),896,33546,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Dana Inc.,2280,29024,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Dorman Products Inc. (a),527,37459,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Fox Factory Holding Corp. (a),670,48267,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Gentex Corp.,3178,84535,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Gentherm Inc. (a),1470,53949,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Goodyear Tire & Rubber Co. (The),3521,40386,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,LCI Industries,356,30171,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Modine Manufacturing Co. (a),3281,33499,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,"Tenneco Inc., Class A",4118,35909,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Veoneer Inc. (a)(b),1894,27785,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Auto Components — 1.0%,Visteon Corp. (a),672,46348,554696,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Automobiles — 0.1%,Thor Industries Inc.,723,33193,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Automobiles — 0.1%,Winnebago Industries Inc.,889,28466,61659,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Banks — 7.5%,"Amalgamated Bank, Class A",1883,30222,,
ESML,iShares ESG MSCI USA Small-Cap ETF,"August 31, 2019",Banks — 7.5%,Ameris Bancorp,1246,43847,,
