etf_ticker,etf_name,date,sector,security,shares,value,total_value,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,AAR Corp. (a),16449,556799,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Aerovironment Inc. (a)(b),6237,638419,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Axon Enterprise Inc. (a),15562,2830261,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,BWX Technologies Inc.,43720,2510840,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Curtiss-Wright Corp.,13787,1678981,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Ducommun Inc. (a),10140,534378,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Hexcel Corp. (a),23266,1319415,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Kaman Corp.,13429,524805,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Kratos Defense & Security Solutions Inc. (a),24583,607692,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Maxar Technologies Inc.,22844,726211,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Mercury Systems Inc. (a),32616,1643194,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,"Moog Inc., Class A",11730,931831,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,PAE Inc. (a),69705,466326,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,"Spirit AeroSystems Holdings Inc., Class A",13496,529583,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Vectrus Inc. (a),11387,572880,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Aerospace & Defense — 1.5%,Virgin Galactic Holdings Inc. (a)(b),32594,883623,16955238,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Air Freight & Logistics — 0.1%,Echo Global Logistics Inc. (a),23710,779585,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Air Freight & Logistics — 0.1%,"Hub Group Inc., Class A (a)",11419,801614,1581199,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Airlines — 0.2%,Alaska Air Group Inc. (a),13161,754652,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Airlines — 0.2%,American Airlines Group Inc. (a),26844,535269,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Airlines — 0.2%,JetBlue Airways Corp. (a),38132,576937,1866858,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Adient PLC (a),13643,536716,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,American Axle & Manufacturing Holdings Inc. (a),61605,546436,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Dana Inc.,39450,917607,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Dorman Products Inc. (a),6242,585874,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Fox Factory Holding Corp. (a),7767,1193555,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Gentex Corp.,24570,756756,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Gentherm Inc. (a),22692,1947427,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Goodyear Tire & Rubber Co. (The) (a),38472,609396,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,LCI Industries,8769,1242217,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Luminar Technologies Inc. (a),34068,592102,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Modine Manufacturing Co. (a),40723,506594,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Veoneer Inc. (a)(b),18707,669711,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,Visteon Corp. (a),6619,699496,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Auto Components — 1.0%,XPEL Inc. (a)(b),7266,552071,11355958,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Automobiles — 0.4%,Canoo Inc. (a),89414,644675,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Automobiles — 0.4%,Harley-Davidson Inc.,36430,1440078,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Automobiles — 0.4%,Thor Industries Inc.,12844,1456895,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Automobiles — 0.4%,Winnebago Industries Inc.,7727,537954,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Automobiles — 0.4%,Workhorse Group Inc. (a)(b),59667,585333,4664935,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Amalgamated Financial Corp.,38225,594399,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Amerant Bancorp Inc. (a),23589,626760,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Ameris Bancorp.,22137,1090026,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Associated Banc-Corp.,30870,636539,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Atlantic Union Bankshares Corp.,17164,635068,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Bancorp. Inc. (The) (a),21386,527379,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,BancorpSouth Bank,37211,1091399,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Bank of Hawaii Corp.,18049,1512687,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Bank OZK,49220,2088405,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Banner Corp.,17063,976004,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Berkshire Hills Bancorp. Inc.,21645,554761,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,BOK Financial Corp.,12771,1124486,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Bryn Mawr Bank Corp.,15913,649250,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Cadence BanCorp.,19850,426973,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Camden National Corp.,19664,917719,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Cathay General Bancorp.,18535,737322,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,CIT Group Inc.,19607,1086620,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Columbia Banking System Inc.,14247,518021,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Comerica Inc.,52542,3883379,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Commerce Bancshares Inc.,29849,2110921,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Community Bank System Inc.,6472,478928,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Community Trust Bancorp. Inc.,16774,698805,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,Cullen/Frost Bankers Inc.,13380,1528264,,
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,"August 31, 2021",Banks — 7.2%,CVB Financial Corp.,23754,483631,,
