etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
ICLN,iShares Global Clean Energy ETF,30/04/22,Austria — 1.1%,Verbund AG,"5,02,818","5,37,45,833","5,37,45,833",
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,Auren Energia SA,"35,73,443","1,05,96,118",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,"Centrais Eletricas Brasileiras SA, ADR","69,05,104","5,72,43,312",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,CPFL Energia SA,"23,51,796","1,71,96,255",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,EDP - Energias do Brasil SA,"31,87,861","1,36,56,873",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,Light SA,"38,01,996","68,67,348",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,Neoenergia SA,"22,06,442","83,81,351",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Brazil — 2.4%,Omega Energia SA,"35,40,653","76,48,575","12,15,89,832",
ICLN,iShares Global Clean Energy ETF,30/04/22,Canada — 4.3%,Ballard Power Systems Inc. (a)(b),"54,99,426","4,56,76,935",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Canada — 4.3%,"Boralex Inc., Class A","9,66,755","2,89,80,450",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Canada — 4.3%,"Brookfield Renewable Corp., Class A","8,16,363","2,93,14,463",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Canada — 4.3%,Canadian Solar Inc. (a)(b),"8,75,142","2,40,83,908",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Canada — 4.3%,Innergex Renewable Energy Inc.,"18,78,327","2,51,48,659",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Canada — 4.3%,Northland Power Inc.,"20,76,451","6,26,66,100","21,58,70,515",
ICLN,iShares Global Clean Energy ETF,30/04/22,Chile — 0.5%,"Enel Americas SA, ADR","42,69,742","2,27,15,027","2,27,15,027",
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"CECEP Solar Energy Co. Ltd., Class A","31,60,300","31,53,188",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"CECEP Wind Power Corp, Class A","52,74,600","31,64,495",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"China Datang Corp. Renewable Power Co. Ltd., Class H","5,93,46,000","2,24,33,348",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"China Yangtze Power Co. Ltd., Class A","2,32,12,000","7,91,01,534",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Daqo New Energy Corp., ADR (a)(b)","15,19,166","6,31,51,731",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,Dynagreen Environmental Protection Group Co. Ltd.,"10,09,300","10,98,167",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Flat Glass Group Co. Ltd., Class H","1,02,17,000","3,65,34,185",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Ginlong Technologies Co. Ltd., Class A","2,56,300","73,60,924",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,Huaneng Lancang River Hydropower Inc.,"69,93,700","64,29,457",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"JA Solar Technology Co. Ltd., Class A","16,51,400","1,99,83,578",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,Jiangsu Akcome Science & Technology Co. Ltd.,"45,71,600","18,61,924",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"JinkoSolar Holding Co. Ltd., ADR (a)(b)","10,34,117","5,30,08,837",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"LONGi Green Energy Technology Co. Ltd., Class A","41,43,600","4,16,66,903",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Ming Yang Smart Energy Group Ltd., Class A","20,26,600","66,64,404",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,Risen Energy Co. Ltd.,"9,20,000","29,68,884",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Sichuan Chuantou Energy Co. Ltd., Class A","45,57,000","75,33,644",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Sinoma Science & Technology Co. Ltd., Class A","13,16,500","39,76,638",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Sungrow Power Supply Co. Ltd., Class A","15,33,600","1,43,82,271",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Tianjin Zhonghuan Semiconductor Co. Ltd., Class A","33,37,100","1,93,49,616",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Titan Wind Energy Suzhou Co. Ltd., Class A","18,39,500","27,43,170",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,"Xinjiang Goldwind Science & Technology Co. Ltd., Class H","1,97,95,600","2,81,36,369",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,Xinyi Energy Holdings Ltd.,"2,01,80,000","1,07,94,454",,
ICLN,iShares Global Clean Energy ETF,30/04/22,China — 12.2%,Xinyi Solar Holdings Ltd.,"11,49,72,000","17,08,97,211","60,63,94,932",
ICLN,iShares Global Clean Energy ETF,30/04/22,Denmark — 10.2%,Orsted AS,"18,24,494","20,18,44,538",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Denmark — 10.2%,Vestas Wind Systems A/S,"1,20,95,345","30,84,43,324","51,02,87,862",
ICLN,iShares Global Clean Energy ETF,30/04/22,France — 0.7%,McPhy Energy SA (a)(b),"5,70,874","1,04,28,307",,
ICLN,iShares Global Clean Energy ETF,30/04/22,France — 0.7%,Neoen SA (a)(b)(c),"5,39,909","2,15,72,448","3,20,00,755",
ICLN,iShares Global Clean Energy ETF,30/04/22,Germany — 2.4%,Encavis AG,"12,33,605","2,69,30,392",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Germany — 2.4%,Nordex SE (a)(b),"27,35,290","3,94,76,017",,
ICLN,iShares Global Clean Energy ETF,30/04/22,Germany — 2.4%,SMA Solar Technology AG,"4,36,149","1,98,48,623",,
