etf_ticker,etf_name,date,sector,security,shares,value,total_value,
ICLN,iShares Global Clean Energy ETF,30/04/23,Austria — 0.8%,Verbund AG,"4,34,638","3,87,09,110","3,87,09,110",
ICLN,iShares Global Clean Energy ETF,30/04/23,Brazil — 1.8%,AES Brasil Energia SA,"52,38,116","1,12,15,983",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Brazil — 1.8%,Auren Energia SA,"66,94,029","2,11,78,030",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Brazil — 1.8%,CPFL Energia SA,"41,13,721","2,73,32,434",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Brazil — 1.8%,EDP - Energias do Brasil SA,"40,84,853","1,84,26,800",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Brazil — 1.8%,Energisa SA,"62,78,863","5,26,19,687",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Brazil — 1.8%,Neoenergia SA,"32,50,080","1,00,67,311","14,08,40,245",
ICLN,iShares Global Clean Energy ETF,30/04/23,Canada — 4.6%,Ballard Power Systems Inc. (a)(b),"41,36,517","1,82,88,177",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Canada — 4.6%,"Boralex Inc., Class A","11,24,038","3,27,70,787",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Canada — 4.6%,"Brookfield Renewable Corp., Class A","9,23,087","3,08,43,376",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Canada — 4.6%,Canadian Solar Inc. (a)(b),"8,49,682","3,17,95,100",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Canada — 4.6%,Innergex Renewable Energy Inc.,"18,38,501","1,88,61,988",,
ICLN,iShares Global Clean Energy ETF,30/04/23,Canada — 4.6%,Northland Power Inc.,"31,97,489","7,84,94,656","21,10,54,084",
ICLN,iShares Global Clean Energy ETF,30/04/23,Chile — 0.4%,Enel Americas SA,"11,71,03,935","1,59,57,179","1,59,57,179",
ICLN,iShares Global Clean Energy ETF,30/04/23,China — 12.5%,"CECEP Solar Energy Co. Ltd., Class A","69,78,200","70,24,951",,
ICLN,iShares Global Clean Energy ETF,30/04/23,China — 12.5%,"CECEP Wind Power Corp, Class A","1,15,58,320","63,84,169",,
