etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Aristocrat Leisure Ltd.,"94,699","25,08,124",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Australia & New Zealand Banking Group Ltd.,"22,670","3,93,305",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,BlueScope Steel Ltd.,"16,815","2,47,971",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Brambles Ltd.,"61,207","5,79,065",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Cochlear Ltd.,"7,991","12,85,531",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Commonwealth Bank of Australia,"8,963","6,37,706",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,CSL Ltd.,"16,882","30,40,721",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Fortescue Metals Group Ltd.,"1,33,756","19,66,310",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,GPT Group (The),"3,18,066","9,29,662",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,IDP Education Ltd.,"4,420","74,072",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,IGO Ltd.,"1,17,413","10,97,138",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Insurance Australia Group Ltd.,"25,299","1,00,994",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Lottery Corp. Ltd. (The),"2,08,087","7,24,121",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Macquarie Group Ltd.,"58,894","69,45,364",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Medibank Pvt Ltd.,"2,59,125","6,11,770",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Mineral Resources Ltd.,"8,519","4,11,611",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Mirvac Group,"1,34,935","2,12,698",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,National Australia Bank Ltd.,"1,23,539","23,66,519",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Pilbara Minerals Ltd.,"1,46,663","4,79,814",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Qantas Airways Ltd.,"3,66,672","16,11,073",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,QBE Insurance Group Ltd.,"35,723","3,79,267",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,REA Group Ltd.,"7,479","7,92,874",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Rio Tinto Ltd.,"13,554","10,73,271",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Santos Ltd.,"17,946","96,567",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Stockland,"4,83,069","13,72,897",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Suncorp Group Ltd.,"42,955","4,11,596",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Transurban Group,"52,187","5,03,868",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Vicinity Ltd.,"4,06,527","5,40,520",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Wesfarmers Ltd.,"63,855","21,33,532",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Westpac Banking Corp.,"74,973","11,26,909",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Australia — 6.2%,Woodside Energy Group Ltd.,"40,785","10,51,241","3,57,06,111",
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Austria — 0.2%,Erste Group Bank AG,"6,071","2,29,459",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Austria — 0.2%,Verbund AG,"12,617","10,45,406","12,74,865",
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Belgium — 0.8%,Anheuser-Busch InBev SA/NV,"37,055","21,19,755",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Belgium — 0.8%,KBC Group NV,"6,666","5,01,715",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Belgium — 0.8%,Umicore SA,"70,951","21,01,223",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Belgium — 0.8%,Warehouses De Pauw CVA,"5,765","1,70,340","48,93,033",
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,Algonquin Power & Utilities Corp.,"81,174","6,69,755",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,Alimentation Couche-Tard Inc.,"14,122","7,14,962",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,ARC Resources Ltd.,"43,195","6,52,519",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,Bank of Nova Scotia (The),"1,15,651","58,23,552",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,BCE Inc.,"44,401","19,17,932",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,Brookfield Asset Management Ltd.,"8,894","3,00,008",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,"Brookfield Corp., Class A","62,338","21,76,027",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,Canadian Pacific Kansas City Ltd.,"20,357","16,74,997",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,"CCL Industries Inc., Class B, NVS","3,079","1,47,616",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,CGI Inc.,"15,609","15,86,172",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/07/23,Canada — 10.7%,"Empire Co. Ltd., Class A, NVS","36,284","9,85,349",,
