etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_oerall_value
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,ANZ Group Holdings Ltd.,"16,696","2,94,591",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Aristocrat Leisure Ltd.,"56,714","16,35,099",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,BlueScope Steel Ltd.,"16,151","2,46,598",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Brambles Ltd.,"42,985","4,09,852",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Cochlear Ltd.,"3,026","6,00,506",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Commonwealth Bank of Australia,"7,040","5,36,831",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,CSL Ltd.,"10,109","19,85,180",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Fortescue Ltd.,"88,890","17,17,955",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,GPT Group (The),"1,90,479","5,75,699",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,IDP Education Ltd.,"2,645","33,871",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,IGO Ltd.,"79,249","3,85,246",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Insurance Australia Group Ltd.,"15,146","59,455",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Lottery Corp. Ltd. (The),"1,24,591","4,08,955",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Macquarie Group Ltd.,"35,033","43,22,701",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Medibank Pvt Ltd.,"1,55,181","3,88,517",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Mineral Resources Ltd.,"6,155","2,37,391",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,Mirvac Group,"80,833","1,13,603",,
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,31/01/24,Australia — 6.9%,National Australia Bank Ltd.,"1,25,416","26,45,073",,
