etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Aerospace & Defense — 0.5%,Howmet Aerospace Inc.,"84,607","47,59,990",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Aerospace & Defense — 0.5%,RTX Corp.,"22,379","20,39,174","67,99,164",
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Air Freight & Logistics — 0.5%,Expeditors International of Washington Inc.,"29,991","37,88,763",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Air Freight & Logistics — 0.5%,FedEx Corp.,"4,226","10,19,692",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Air Freight & Logistics — 0.5%,"United Parcel Service Inc., Class B","14,469","20,53,151","68,61,606",
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Automobiles — 1.5%,General Motors Co.,"87,582","33,98,181",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Automobiles — 1.5%,Lucid Group Inc. (a)(b),"61,769","2,08,779",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Automobiles — 1.5%,"Rivian Automotive Inc., Class A (a)(b)","20,099","3,07,716",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Automobiles — 1.5%,Tesla Inc. (a)(b),"89,934","1,68,43,739","2,07,58,415",
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Banks — 3.1%,Bank OZK,"14,861","6,70,380",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Banks — 3.1%,Citigroup Inc.,"1,12,795","63,35,695",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Banks — 3.1%,Citizens Financial Group Inc.,"80,184","26,22,017",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/25,Banks — 3.1%,Commerce Bancshares Inc.,"7,034","3,66,612",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/26,Banks — 3.1%,East West Bancorp. Inc.,"14,842","10,80,646",,
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,31/01/24,Banks — 3.1%,Fifth Third Bancorp,"1,37,973","47,24,195",,
