etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,ANZ Group Holdings Ltd.,"1,368","25,357",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Aristocrat Leisure Ltd.,196,"5,955",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,ASX Ltd.,96,"4,113",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Brambles Ltd.,416,"4,085",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Cochlear Ltd.,36,"8,206",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Coles Group Ltd.,336,"3,696",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Commonwealth Bank of Australia,616,"46,728",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Computershare Ltd.,220,"3,718",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,CSL Ltd.,148,"27,552",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Dexus,"2,140","10,248",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Endeavour Group Ltd./Australia,"1,128","4,038",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Goodman Group,"1,612","31,382",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,GPT Group (The),"2,676","7,568",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,James Hardie Industries PLC,336,"13,291",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Macquarie Group Ltd.,136,"17,269",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Medibank Pvt Ltd.,"1,128","2,636",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Mineral Resources Ltd.,176,"7,637",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,National Australia Bank Ltd.,"1,336","29,685",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Northern Star Resources Ltd.,732,"6,085",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Pilbara Minerals Ltd.,"2,560","6,991",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,QBE Insurance Group Ltd.,868,"9,769",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,REA Group Ltd.,32,"4,047",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Scentre Group,"3,624","7,335",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Sonic Healthcare Ltd.,88,"1,708",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Stockland,"2,420","7,071",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Suncorp Group Ltd.,"1,532","15,257",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Transurban Group,"2,284","20,127",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Treasury Wine Estates Ltd.,460,"3,693",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Vicinity Ltd.,"7,868","9,936",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Wesfarmers Ltd.,632,"27,431",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Westpac Banking Corp.,460,"7,893",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,WiseTech Global Ltd.,40,"2,467",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Australia — 6.2%,Xero Ltd.,28,"2,329","3,85,303",
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Austria — 0.2%,Verbund AG,144,"10,424","10,424",
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Belgium — 1.2%,Anheuser-Busch InBev SA/NV,356,"21,517",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Belgium — 1.2%,Argenx SE,8,"2,999",,
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,29/02/24,Belgium — 1.2%,D’ieteren Group,28,"5,410",,
