etf_ticker,etf_name,date,sector,security,shares,value,total_value,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Aerospace & Defense — 0.6%,HEICO Corp.,"12,128","18,47,094",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Aerospace & Defense — 0.6%,"HEICO Corp., Class","2,518","3,08,657",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Aerospace & Defense — 0.6%,"L3Harris Technologies, Inc.","5,628","12,84,253",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Aerospace & Defense — 0.6%,"TransDigm Group, Inc.","2,079","12,48,211","46,88,215",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Automobiles — 3.2%,Ford Motor Co.,"1,18,919","18,12,325",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Automobiles — 3.2%,"Lucid Group, Inc.","43,144","6,61,829",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Automobiles — 3.2%,"Tesla, Inc.","79,860","2,20,10,215","2,44,84,369",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,Bank America Corp.,"36,438","12,24,681",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,First Republic Bank,"13,398","20,34,218",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,JPMorgan Chase & Co.,"67,680","76,97,247",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,KeyCorp,"47,035","8,32,049",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,M&T Bank Corp.,"5,123","9,31,259",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,"PNC Financial Services Group, Inc. (The)","6,569","10,37,902",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,SVB Financial Group,"4,307","17,50,882",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,Truist Financial Corp.,"21,692","10,16,053",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Banks — 2.4%,U.S. Bancorp,"38,265","17,45,267","1,82,69,558",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Beverages — 1.3%,"Brown-Forman Corp., Class, NVS","35,771","26,00,552",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Beverages — 1.3%,Coca-Cola Co. (The),"92,324","56,97,314",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Beverages — 1.3%,"Keurig Dr Pepper, Inc.","25,752","9,81,666",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Beverages — 1.3%,Monster Beverage Corp.,"8,587","7,62,783","1,00,42,315",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"AbbVie, Inc.","38,405","51,63,936",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Alnylam Pharmaceuticals, Inc.","4,416","9,12,655",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Amgen, Inc.","7,793","18,72,658",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Biogen, Inc.","3,857","7,53,581",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"BioMarin Pharmaceutical, Inc.","8,922","7,95,842",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,Exact Sciences Corp.,"4,627","1,64,490",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,Horizon Therapeutics PLC,"1,459","86,387",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Moderna, Inc.","6,555","8,67,030",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Neurocrine Biosciences, Inc.","3,420","3,57,835",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Regeneron Pharmaceuticals, Inc.","2,794","16,23,482",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Seagen, Inc.","2,088","3,22,157",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Biotechnology — 2.0%,"Vertex Pharmaceuticals, Inc.","6,425","18,10,308","1,47,30,361",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,31/08/22,Building Products — 0.1%,O Smith Corp.,"5,320","3,00,314",,
