etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Aerospace & Defense — 0.4%,"Axon Enterprise, Inc.","16,555","50,88,510",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Aerospace & Defense — 0.4%,"L3Harris Technologies, Inc.","10,393","21,99,783","72,88,293",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Automobiles — 2.1%,"Rivian Automotive, Inc., Class","2,91,683","33,01,851",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Automobiles — 2.1%,"Tesla, Inc.","1,66,159","3,35,44,179","3,68,46,030",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Banks — 1.4%,JPMorgan Chase & Co.,"1,15,312","2,14,54,951",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Banks — 1.4%,M&T Bank Corp.,"9,440","13,19,146",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Banks — 1.4%,U.S. Bancorp,"34,264","14,37,717","2,42,11,814",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Beverages — 1.1%,"Brown-Forman Corp., Class, NVS","1,98,986","1,19,84,927",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Beverages — 1.1%,"Keurig Dr Pepper, Inc.","47,513","14,21,114",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Beverages — 1.1%,Monster Beverage Corp.,"90,200","53,30,820","1,87,36,861",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"AbbVie, Inc.","71,081","1,25,13,810",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Alnylam Pharmaceuticals, Inc.","10,960","16,55,946",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Amgen, Inc.","14,408","39,45,343",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Biogen, Inc.","7,226","15,67,970",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"BioMarin Pharmaceutical, Inc.","16,418","14,16,545",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,Exact Sciences Corp.,"6,781","3,90,111",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Moderna, Inc.","6,835","6,30,460",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Neurocrine Biosciences, Inc.","6,270","8,17,608",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Regeneron Pharmaceuticals, Inc.","5,180","50,04,346",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Biotechnology — 1.9%,"Vertex Pharmaceuticals, Inc.","11,893","50,03,861","3,29,46,000",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Broadline Retail — 4.1%,"Amazon.com, Inc.","3,68,737","6,51,77,952",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Broadline Retail — 4.1%,"eBay, Inc.","56,798","26,85,410",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Broadline Retail — 4.1%,"Etsy, Inc.","14,704","10,54,130",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Broadline Retail — 4.1%,"MercadoLibre, Inc.","2,838","45,27,461","7,34,44,953",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Building Products — 0.1%,Allegion PLC,"11,015","14,08,488",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Building Products — 0.1%,"Fortune Brands Innovations, Inc.","3,038","2,47,111","16,55,599",
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Capital Markets — 3.8%,"Ameriprise Financial, Inc.","1,850","7,53,616",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Capital Markets — 3.8%,Bank New York Mellon Corp. (The),"60,424","33,89,182",,
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,29/02/24,Capital Markets — 3.8%,"BlackRock, Inc.","10,339","83,88,444",,
