etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Australia — 0.8%,CSL Ltd.,"6,057","12,81,168",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Australia — 0.8%,GPT Group (The),"66,082","1,87,176","14,68,344",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Austria — 0.3%,Verbund AG,"9,180","4,94,047","4,94,047",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Belgium — 4.4%,Colruyt SA,"10,099","6,40,129",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Belgium — 4.4%,Elia Group SA/NV,"4,556","4,90,933",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Belgium — 4.4%,Umicore SA,"1,42,655","65,66,714","76,97,776",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Canada — 0.1%,First Capital Real Estate Investment Trust,"15,134","1,58,896","1,58,896",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Chile — 2.3%,"Aguas Andinas SA, Class A","3,27,778","98,472",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Chile — 2.3%,Empresas CMPC SA,"18,71,820","38,97,765","39,96,237",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,3SBio Inc. (a)(b),"47,000","55,186",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,Class A,"2,27,300","2,14,054",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,Beijing Enterprises Water Group Ltd.,"26,70,000","10,50,754",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"BYD Co. Ltd., Class A","68,000","8,43,900",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"BYD Co. Ltd., Class H","2,02,000","20,06,929",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,China Conch Venture Holdings Ltd.,"70,500","3,05,646",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,China Education Group Holdings Ltd.,"94,000","1,84,843",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,China Everbright International Ltd.,"23,69,000","14,30,543",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"China Longyuan Power Group Corp. Ltd., Class H","11,33,000","7,14,873",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,China Medical System Holdings Ltd.,"94,000","1,06,127",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,China Mengniu Dairy Co. Ltd.,"2,80,000","13,76,489",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"China Railway Signal & Communication Corp. Ltd., Class H","7,52,000","3,04,675",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"Contemporary Amperex Technology Co. Ltd., Class A","9,400","2,83,201",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,CSPC Pharmaceutical Group Ltd.,"1,07,200","2,38,187",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,Koolearn Technology Holding Ltd. (a)(b),"22,500","1,07,708",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"LONGi Green Energy Technology Co. Ltd., Class A","26,100","2,41,141",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"NIO Inc., ADR","1,81,680","34,57,370",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,Sino Biopharmaceutical Ltd.,"2,22,000","2,56,369",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,SOHO China Ltd.,"1,41,000","43,482",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,Vinda International Holdings Ltd.,"43,000","1,47,029",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"Wuxi Lead Intelligent Equipment Co. Ltd., Class A","4,700","30,839",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"Xinjiang Goldwind Science & Technology Co. Ltd., Class A","65,800","1,04,909",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,"Xinjiang Goldwind Science & Technology Co. Ltd., Class H","56,504","48,629",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,China — 8.0%,Xinyi Solar Holdings Ltd.,"3,50,000","4,42,120","1,39,95,003",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Denmark — 7.3%,Genmab A/S,376,"1,42,314",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Denmark — 7.3%,H Lundbeck A/S,"4,794","1,57,729",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Denmark — 7.3%,"Novo Nordisk A/S, Class B","54,320","36,05,393",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Denmark — 7.3%,Orsted A/S,"13,291","18,84,546",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Denmark — 7.3%,Vestas Wind Systems A/S,"45,668","69,58,067","1,27,48,049",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,France — 6.2%,Alstom SA,"73,278","40,87,383",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,France — 6.2%,Covivio,"6,213","4,61,430",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,France — 6.2%,Gecina SA,"1,479","2,03,767",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,France — 6.2%,Ipsen SA,"2,585","2,68,345",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,France — 6.2%,Klepierre SA,"52,264","8,61,946",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,France — 6.2%,Suez SA,"2,88,478","50,04,304","1,08,87,175",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Germany — 2.2%,KION Group AG,"18,018","15,26,936",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Germany — 2.2%,Vonovia SE,"33,513","24,04,794","39,31,730",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Hong Kong — 2.9%,Henderson Land Development Co. Ltd.,"93,000","3,66,593",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Hong Kong — 2.9%,MTR Corp. Ltd.,"1,41,000","7,34,095",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Hong Kong — 2.9%,Swire Properties Ltd.,"77,800","2,10,809",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Hong Kong — 2.9%,WH Group Ltd.,"44,97,500","38,82,283","51,93,780",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,India — 0.3%,Bandhan Bank Ltd. (a)(b),"15,148","62,932",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,India — 0.3%,Colgate-Palmolive India Ltd.,"1,175","21,762",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,India — 0.3%,Godrej Consumer Products Ltd.,"6,439","56,974",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,India — 0.3%,Hindustan Unilever Ltd.,"11,166","3,21,194",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,India — 0.3%,Marico Ltd.,"10,622","53,234",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,India — 0.3%,Nestle India Ltd.,235,"50,921","5,67,017",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Indonesia — 0.0%,Unilever Indonesia Tbk PT,"1,12,800","63,710","63,710",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Ireland — 1.4%,Kingspan Group PLC,"28,247","24,30,616","24,30,616",
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,Asahi Intecc Co. Ltd.,"2,300","68,212",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,Central Japan Railway Co.,"38,400","57,53,935",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,Chugai Pharmaceutical Co. Ltd.,"10,400","4,62,996",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,Daiichi Sankyo Co. Ltd.,"12,800","11,40,286",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,East Japan Railway Co.,"1,07,700","70,04,639",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,GLP J-REIT,94,"1,45,018",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,31/08/20,Japan — 13.9%,Japan Retail Fund Investment Corp.,235,"3,54,345",,
