etf_ticker,etf_name,date,sector,security,shares,value,total_value,toal_overall_value
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Australia — 1.4%,CSL Ltd.,"18,585","34,59,862",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Australia — 1.4%,IDP Education Ltd.,"23,807","2,95,723",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Australia — 1.4%,Vicinity Ltd.,"4,12,335","5,20,710","42,76,295",
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Austria — 0.5%,Verbund AG,"19,113","13,83,588","13,83,588",
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Belgium — 4.2%,Argenx SE,778,"2,91,606",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Belgium — 4.2%,Elia Group SA/NV,"9,679","10,76,666",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Belgium — 4.2%,Umicore SA,"5,39,567","1,12,91,706","1,26,59,978",
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Canada — 2.5%,Northland Power Inc.,"47,978","8,13,096",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Canada — 2.5%,RioCan REIT,"20,519","2,70,331",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Canada — 2.5%,Saputo Inc.,"1,55,412","31,61,718",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Canada — 2.5%,West Fraser Timber Co. Ltd.,"40,903","32,91,770","75,36,915",
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,Chile — 0.8%,Empresas CMPC SA,"13,75,299","24,41,502","24,41,502",
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,Akeso Inc. (a)(b),"28,000","1,67,900",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"Anjoy Foods Group Co. Ltd., Class A","4,300","51,986",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,BeiGene Ltd.,"34,021","4,38,012",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,Beijing Enterprises Water Group Ltd.,"42,54,000","9,97,908",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"BYD Co. Ltd., Class A","44,800","11,83,286",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"BYD Co. Ltd., Class H","2,60,000","64,03,817",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"CECEP Solar Energy Co. Ltd., Class A","85,700","64,564",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"China Longyuan Power Group Corp. Ltd., Class H","18,56,000","13,07,947",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,China Medical System Holdings Ltd.,"1,12,000","1,84,114",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,China Mengniu Dairy Co. Ltd.,"14,17,000","35,42,984",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"China Railway Signal & Communication Corp. Ltd., Class A","1,63,655","1,10,759",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"China Three Gorges Renewables Group Co. Ltd., Class A","2,87,500","1,84,195",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"Chongqing Zhifei Biological Products Co. Ltd., Class A","15,700","1,16,415",,
SDG,iShares MSCI Global Sustainable Development Goals ETF,29/02/24,China — 14.6%,"Contemporary Amperex Technology Co. Ltd., Class A","1,29,120","29,20,365",,
