etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Air Freight & Logistics — 1.9%,Expeditors International of Washington Inc.,"2,42,106","1,76,59,212",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Air Freight & Logistics — 1.9%,"United Parcel Service Inc., Class B","19,926","22,94,877","1,99,54,089",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Automobiles — 0.4%,Tesla Inc. (a)(b),"12,501","39,36,815","39,36,815",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Banks — 1.3%,Comerica Inc.,"86,414","56,53,204",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Banks — 1.3%,KeyCorp.,"1,15,498","20,75,499",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Banks — 1.3%,PNC Financial Services Group Inc. (The),"28,651","42,03,102",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Banks — 1.3%,SVB Financial Group (a)(b),"10,188","22,56,438","1,41,88,243",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Beverages — 2.8%,Coca-Cola Co. (The),"2,07,282","1,12,82,359",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Beverages — 2.8%,PepsiCo Inc.,"1,35,283","1,85,56,769","2,98,39,128",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Biotechnology — 3.0%,AbbVie Inc.,"46,948","37,34,713",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Biotechnology — 3.0%,Amgen Inc.,"40,076","85,46,207",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Biotechnology — 3.0%,Biogen Inc. (a),"13,418","40,08,091",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Biotechnology — 3.0%,Gilead Sciences Inc.,"1,32,352","84,32,146",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Biotechnology — 3.0%,Vertex Pharmaceuticals Inc. (a),"39,441","77,09,927","3,24,31,084",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Building Products — 1.6%,Johnson Controls International PLC,"3,70,290","1,60,44,666",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Building Products — 1.6%,Owens Corning,"26,876","16,46,961","1,76,91,627",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Capital Markets — 5.0%,Bank of New York Mellon Corp. (The),"1,04,076","48,65,553",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Capital Markets — 5.0%,BlackRock Inc. (c),"48,293","2,22,96,878",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Capital Markets — 5.0%,Franklin Resources Inc.,"88,901","24,49,222",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Capital Markets — 5.0%,Northern Trust Corp.,"1,96,404","1,95,77,551",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Capital Markets — 5.0%,State Street Corp.,"76,014","50,22,245","5,42,11,449",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Chemicals — 5.1%,Axalta Coating Systems Ltd. (a),"75,109","22,14,965",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Chemicals — 5.1%,Ecolab Inc.,"2,35,312","4,51,96,376",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Chemicals — 5.1%,International Flavors & Fragrances Inc.,"43,818","53,46,234",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Chemicals — 5.1%,Mosaic Co. (The),"1,01,589","20,19,589","5,47,77,164",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Communications Equipment — 1.4%,Cisco Systems Inc.,"2,24,901","1,06,85,047",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Communications Equipment — 1.4%,Motorola Solutions Inc.,"27,951","46,48,810","1,53,33,857",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Consumer Finance — 1.4%,American Express Co.,"1,27,214","1,49,19,658","1,49,19,658",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Diversified Telecommunication Services — 0.6%,Verizon Communications Inc.,"98,360","59,47,829","59,47,829",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Electric Utilities — 2.0%,Eversource Energy,"1,34,323","1,12,48,208",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Electric Utilities — 2.0%,Xcel Energy Inc.,"1,60,983","1,02,24,030","2,14,72,238",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,"Electronic Equipment, Instruments & Components — 0.8%",Keysight Technologies Inc. (a)(b),"28,805","29,06,713",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,"Electronic Equipment, Instruments & Components — 0.8%",TE Connectivity Ltd.,"44,948","40,22,846",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,"Electronic Equipment, Instruments & Components — 0.8%",Trimble Inc. (a),"51,700","20,59,728","89,89,287",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Energy Equipment & Services — 1.1%,Baker Hughes Co.,"3,58,385","76,69,439",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Energy Equipment & Services — 1.1%,TechnipFMC PLC,"2,37,121","46,78,397","1,23,47,836",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Entertainment — 1.0%,Netflix Inc. (a),"15,863","45,59,185",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Entertainment — 1.0%,Walt Disney Co. (The),"51,592","67,02,832","1,12,62,017",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Equity Real Estate Investment Trusts (REITs) — 3.6%,American Tower Corp.,"7,586","16,54,355",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Equity Real Estate Investment Trusts (REITs) — 3.6%,Equinix Inc.,"12,819","72,65,553",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Equity Real Estate Investment Trusts (REITs) — 3.6%,Iron Mountain Inc.,"1,01,762","33,37,794",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Equity Real Estate Investment Trusts (REITs) — 3.6%,Liberty Property Trust,"1,92,104","1,13,47,583",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Equity Real Estate Investment Trusts (REITs) — 3.6%,Prologis Inc.,"1,71,345","1,50,37,237","3,86,42,522",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Food Products — 3.1%,Bunge Ltd.,"1,42,088","76,72,752",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Food Products — 3.1%,Campbell Soup Co.,"1,15,233","53,36,440",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Food Products — 3.1%,General Mills Inc.,"1,61,466","82,12,161",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Food Products — 3.1%,Kellogg Co.,"1,83,456","1,16,54,960","3,28,76,313",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Health Care Equipment & Supplies — 1.6%,Align Technology Inc. (a),"6,052","15,26,859",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Health Care Equipment & Supplies — 1.6%,Dentsply Sirona Inc.,"22,883","12,53,531",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Health Care Equipment & Supplies — 1.6%,Edwards Lifesciences Corp. (a),"31,347","74,72,498",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Health Care Equipment & Supplies — 1.6%,IDEXX Laboratories Inc. (a),"16,495","47,01,240",,
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Health Care Equipment & Supplies — 1.6%,ResMed Inc.,"14,181","20,97,653","1,70,51,781",
SUSA,iShares MSCI USA ESG Optimized ETF,31/10/19,Health Care Providers & Services — 2.7%,Cardinal Health Inc.,"1,79,673","88,84,830",,
