etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value 
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Aerospace & Defense — 0.3%,Arconic Inc.,"48,022","12,40,889",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Aerospace & Defense — 0.3%,TransDigm Group Inc.,"5,732","30,85,650","43,26,539",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Air Freight & Logistics — 0.8%,CH Robinson Worldwide Inc.,"16,549","13,98,225",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Air Freight & Logistics — 0.8%,Expeditors International of Washington Inc.,"20,704","14,72,054",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Air Freight & Logistics — 0.8%,"United Parcel Service Inc., Class B","84,015","99,69,220","1,28,39,499",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Airlines — 0.1%,Delta Air Lines Inc.,"20,542","11,88,560",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Airlines — 0.1%,Southwest Airlines Co.,"16,720","8,74,790","20,63,350",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Auto Components — 0.2%,Aptiv PLC,"31,529","26,22,267",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Auto Components — 0.2%,BorgWarner Inc.,"25,001","8,15,783","34,38,050",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Automobiles — 0.3%,Harley-Davidson Inc.,"19,268","6,14,649",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Automobiles — 0.3%,Tesla Inc.,"15,629","35,26,059","41,40,708",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,BB&T Corp.,"92,175","43,92,139",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,CIT Group Inc.,"12,224","5,20,620",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Citizens Financial Group Inc.,"55,893","18,85,830",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Comerica Inc.,"19,268","11,87,872",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,East West Bancorp. Inc.,"17,491","7,19,405",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Fifth Third Bancorp,"88,878","23,50,823",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,First Republic Bank/CA,"20,124","18,05,525",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Huntington Bancshares Inc./OH,"1,27,074","16,83,730",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,KeyCorp,"1,21,514","20,17,132",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,M&T Bank Corp.,"15,941","23,30,734",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,People’s United Financial Inc.,"47,926","6,88,697",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,PNC Financial Services Group Inc. (The),"55,188","71,15,389",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Regions Financial Corp.,"1,22,546","17,91,623",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Signature Bank/New York NY,"6,650","7,75,722",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,SunTrust Banks Inc.,"53,443","32,87,279",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,SVB Financial Group,"6,335","12,32,918",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,U.S. Bancorp,"1,83,558","96,71,671",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/19,Banks — 2.8%,Zions Bancorp. N.A.,"22,426","9,21,484","4,43,78,593",
