etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Air Freight & Logistics — 1.0%,"CH Robinson Worldwide, Inc.","22,825","26,05,474",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Air Freight & Logistics — 1.0%,"Expeditors International Washington, Inc.","30,272","31,14,686",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Air Freight & Logistics — 1.0%,"United Parcel Service, Inc., Class","1,31,723","2,56,21,441","3,13,41,601",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Airlines — 0.0%,"Delta Air Lines, Inc.","28,671","8,90,808","8,90,808",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Auto Components — 0.2%,Aptiv PLC,"48,592","45,39,951",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Auto Components — 0.2%,"BorgWarner, Inc.","42,932","16,18,536",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Auto Components — 0.2%,Lear Corp.,"10,634","14,74,298","76,32,785",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Automobiles — 4.2%,"Rivian Automotive, Inc., Class","56,046","18,33,264",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Automobiles — 4.2%,"Tesla, Inc.","4,73,816","13,05,88,428","13,24,21,692",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,"Citizens Financial Group, Inc.","88,583","32,49,224",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,First Republic Bank,"32,220","48,91,963",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,"Huntington Bancshares, Inc.","2,58,434","34,63,016",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,KeyCorp,"1,66,355","29,42,820",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,"PNC Financial Services Group, Inc. (The)","74,176","1,17,19,808",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,Regions Financial Corp.,"1,67,463","36,28,923",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,SVB Financial Group,"10,503","42,69,679",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,Truist Financial Corp.,"2,38,792","1,11,85,017",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,U.S. Bancorp,"2,53,147","1,15,46,035",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Banks — 1.9%,Webster Financial Corp.,"31,983","15,04,800","5,84,01,285",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Beverages — 3.0%,Coca-Cola Co. (The),"7,38,621","4,55,80,302",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Beverages — 3.0%,"Keurig Dr Pepper, Inc.","1,39,930","53,34,132",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Beverages — 3.0%,"PepsiCo, Inc.","2,47,987","4,27,20,720","9,36,35,154",
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Biotechnology — 1.9%,"Amgen, Inc.","95,810","2,30,23,143",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Biotechnology — 1.9%,"Biogen, Inc.","26,235","51,25,794",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Biotechnology — 1.9%,"BioMarin Pharmaceutical, Inc.","33,179","29,59,567",,
SUSL,iShares MSCI USA ESG Leaders ETF,31/08/22,Biotechnology — 1.9%,"Gilead Sciences, Inc.","2,24,964","1,42,78,465",,
