etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,Air Freight & Logistics — 0.6%,"Expeditors International Washington, Inc.","8,861","10,59,775",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,Air Freight & Logistics — 0.6%,FedEx Corp.,"14,439","35,94,878",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,Air Freight & Logistics — 0.6%,"United Parcel Service, Inc., Class","43,814","64,95,864","1,11,50,517",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Automobiles — 2.1%,Ford Motor Co.,"2,38,200","29,63,208",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Automobiles — 2.1%,General Motors Co.,"82,940","33,98,881",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Automobiles — 2.1%,"Tesla, Inc.","1,73,312","3,49,88,227","4,13,50,316",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Banks — 3.4%,Bank America Corp.,"4,31,460","1,48,93,999",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Banks — 3.4%,JPMorgan Chase & Co.,"1,75,132","3,25,85,060",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Banks — 3.4%,"PNC Financial Services Group, Inc. (The)","24,128","35,51,641",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Banks — 3.4%,U.S. Bancorp,"94,384","39,60,353",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Banks — 3.4%,Wells Fargo & Co.,"2,20,159","1,22,38,639","6,72,29,692",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Beverages — 1.8%,Coca-Cola Co. (The),"2,48,812","1,49,33,696",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Beverages — 1.8%,"Constellation Brands, Inc., Class","9,964","24,76,253",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Beverages — 1.8%,"Keurig Dr Pepper, Inc.","63,660","19,04,071",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Beverages — 1.8%,Monster Beverage Corp.,"47,153","27,86,742",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Beverages — 1.8%,"PepsiCo, Inc.","83,284","1,37,70,177","3,58,70,939",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,"AbbVie, Inc.","1,06,954","1,88,29,252",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,"Amgen, Inc.","32,422","88,78,116",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,"Biogen, Inc.","8,776","19,04,304",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,"Gilead Sciences, Inc.","75,479","54,42,036",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,Incyte Corp.,"11,419","6,66,413",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,"Regeneron Pharmaceuticals, Inc.","6,490","62,69,924",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Biotechnology — 2.5%,"Vertex Pharmaceuticals, Inc.","15,611","65,68,172","4,85,58,217",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Broadline Retail — 5.4%,"Amazon.com, Inc.","5,63,411","9,95,88,529",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Broadline Retail — 5.4%,"eBay, Inc.","31,444","14,86,672",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Broadline Retail — 5.4%,"Etsy, Inc.","7,290","5,22,620",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Broadline Retail — 5.4%,"MercadoLibre, Inc.","2,757","43,98,242","10,59,96,063",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Building Products — 0.5%,Allegion PLC,"5,329","6,81,419",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Building Products — 0.5%,"Carlisle Companies, Inc.","2,952","10,33,200",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Building Products — 0.5%,Johnson Controls International PLC,"41,234","24,43,939",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Building Products — 0.5%,Owens Corning,"5,496","8,23,191",,
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Building Products — 0.5%,Trane Technologies PLC,"13,782","38,86,111","88,67,860",
USCL,iShares Climate Conscious & Transition MSCI USA ETF,29/02/24,a Capital Markets — 3.1%,"Ares Management Corp., Class","10,117","13,41,818",,
