etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
USXF,ESG Advanced MSCI USA ETF,31/08/21,Aerospace & Defense — 0.2%,HEICO Corp.,"1,152","1,46,097",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Aerospace & Defense — 0.2%,"HEICO Corp., Class A","1,939","2,21,511",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Aerospace & Defense — 0.2%,Howmet Aerospace Inc.,"10,389","3,29,851","6,97,459",
USXF,ESG Advanced MSCI USA ETF,31/08/21,Air Freight & Logistics — 0.2%,CH Robinson Worldwide Inc.,"3,535","3,18,362",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Air Freight & Logistics — 0.2%,Expeditors International of Washington Inc.,"4,488","5,59,384","8,77,746",
USXF,ESG Advanced MSCI USA ETF,31/08/21,Auto Components — 0.4%,Aptiv PLC (a),"7,189","10,94,094",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Auto Components — 0.4%,Autoliv Inc.,"2,207","1,95,077",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Auto Components — 0.4%,BorgWarner Inc.,"6,375","2,72,085",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Auto Components — 0.4%,Lear Corp.,"1,598","2,55,584","18,16,840",
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,Citizens Financial Group Inc.,"11,320","4,95,703",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,First Republic Bank/CA,"4,677","9,30,442",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,Huntington Bancshares Inc./OH,"39,237","6,09,351",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,KeyCorp,"25,795","5,24,154",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,PNC Financial Services Group Inc. (The),"11,292","21,57,901",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,Regions Financial Corp.,"25,550","5,21,987",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,SVB Financial Group (a),"1,485","8,30,857",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,Truist Financial Corp.,"35,744","20,39,553",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Banks — 2.5%,U.S. Bancorp,"37,615","21,58,725","1,02,68,673",
USXF,ESG Advanced MSCI USA ETF,31/08/21,Beverages — 3.0%,Coca-Cola Co. (The),"1,08,872","61,30,582",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Beverages — 3.0%,Keurig Dr Pepper Inc.,"18,837","6,71,916",,
USXF,ESG Advanced MSCI USA ETF,31/08/21,Beverages — 3.0%,PepsiCo Inc.,"36,723","57,43,110","1,25,45,608",
