etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Aerospace Defense — 1.0%,Curtiss-Wright Corp.,"2,151","4,20,800",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Aerospace Defense — 1.0%,Hexcel Corp.,"4,755","3,09,741",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Aerospace Defense — 1.0%,"Woodward, Inc.","3,392","4,21,490","11,52,031",
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Air Freight Logistics — 0.3%,"GXO Logistics, Inc.","6,678","3,91,665","3,91,665",
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,Adient PLC,"5,275","1,93,592",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,"Autoliv, Inc.","4,266","4,11,584",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,Fox Factory Holding Corp.,"2,372","2,35,018",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,Gentex Corp.,"13,106","4,26,469",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,Goodyear Tire Rubber Co. (The),"15,962","1,98,408",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,Lear Corp.,"3,298","4,42,592",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobile Components — 1.9%,Visteon Corp.,"1,588","2,19,255","21,26,918",
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobiles — 0.5%,"Harley-Davidson, Inc.","7,266","2,40,214",,
XJH,iShares ESG Select Screened S&P Mid-Cap ETF,30/09/23,Automobiles — 0.5%,"Thor Industries, Inc.","3,001","2,85,485","5,25,699",
