etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Aerospace & Defense — 0.1%,"Howmet Aerospace, Inc.","2,767","85,583",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Aerospace & Defense — 0.1%,"TransDigm Group, Inc.",384,"2,01,531","2,87,114",
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Air Freight & Logistics — 0.7%,"CH Robinson Worldwide, Inc.",929,"89,472",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Air Freight & Logistics — 0.7%,"Expeditors International of Washington, Inc.","1,226","1,08,268",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Air Freight & Logistics — 0.7%,FedEx Corp.,"1,778","2,63,980",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Air Freight & Logistics — 0.7%,"United Parcel Service, Inc., Class B","5,463","8,82,493","13,44,213",
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Airlines — 0.2%,"Alaska Air Group, Inc.",922,"36,096",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Airlines — 0.2%,"American Airlines Group, Inc.","4,847","58,358",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Airlines — 0.2%,"Delta Air Lines, Inc.","4,807","1,34,884",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Airlines — 0.2%,Southwest Airlines Co.,"4,439","1,36,899",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Airlines — 0.2%,"United Airlines Holdings, Inc.","2,420","78,723","4,44,960",
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Auto Components — 0.1%,Aptiv PLC,"2,029","1,58,688",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Auto Components — 0.1%,"BorgWarner, Inc.","1,747","54,856","2,13,544",
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Automobiles — 3.0%,Ford Motor Co.,"29,477","3,30,142",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Automobiles — 3.0%,General Motors Co.,"10,884","3,49,268",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Automobiles — 3.0%,"Tesla, Inc.","19,880","52,73,170","59,52,580",
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Banks — 3.6%,Bank of America Corp.,"52,178","15,75,776",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Banks — 3.6%,"Citigroup, Inc.","14,455","6,02,340",,
XVV,iShares ESG Screened S&P 500 ETF,30/09/22,Banks — 3.6%,"Citizens Financial Group, Inc.","3,662","1,25,826",,
